"SEARCHKEY";"ENGTEXT";"ENGTIP";"FRENCHTXT";"FRENCHTIP"
"cash.payment";"Cash Payment";" ";"Paiement en esp�e";" "
"cash.receipt";"Cash Receipt";" ";"Montant re� en esp�e";" "
"cash.refunded";"Cash refunded";" ";"Montant rembours�en esp�e";" "
"cash.tendered";"Cash tendered";" ";"Argent donn�;" "
"cash.to.transfer";"Cash to transfer";" ";"Argent �transf�er";" "
"cash.total";"Cash Total";" ";"Total Esp�e";" "
"cellphone";"Cellphone";" ";"T��hone portable/GSM";" "
"checkout";"Checkout";" ";"Sortir";" "
"cheque";"Cheque";" ";"Ch�ue";" "
"cheque.amount";"Cheque Amount";" ";"Montant ch�ue";" "
"cheque.amt.entered";"Cheque Amount Entered";" ";"Montant donn�en ch�ue";" "
"cheque.amt.tendered";"Cheque amount tendered";" ";"Montant re� par ch�ue";" "
"cheque.amt.total";"Cheque Amount Total";" ";"Montant total en ch�ue";" "
"cheque.no";"Cheque No";" ";"No de ch�ue";" "
"cheque.total";"Cheque Total";" ";"Montant total ch�ue";" "
"choose.attribute";"Choose Attribute";" ";"Choisir les attributs";" "
"choose.your.till";"Please choose your till number";" ";"Choisir le num�o de poste";" "
"clear";"Clear";" ";"Supprimer";" "
"close";"Close";" ";"Fermer";" "
"close.till";"Close Till";" ";"Fermer la caisse";" "
"closed";"Closed";" ";"Ferm�;" "
"closing.balance";"Closing Balance";" ";"Balance de cl�ure";" "
"cogs";"CoGS";" ";"Cots des marchandises vendues";" "
"colour";"Colour";" ";"Couleur";" "
"commission.details";"Commission Details";" ";"D�ails des commissions";" "
"completed";"Completed";" ";"Compl��;" "
"continue";"Continue";" ";"Continuer a v�ifier";" "
"create.bpartner";"Create Business Partner";" ";"Cr�r tiers";" "
"create.garment";"Create Garment";" ";"Cr�r";" "
"create.payment";"Create Payment";" ";"Cr�r un paiement";" "
"credit.check";"Credit Check";" ";"V�ification cr�it";" "
"credit.details";"Credit Details";" ";"D�ails cr�nces";" "
"credit.hold";"Credit Hold";" ";"Cr�it �v�ifier";" "
"credit.memo";"Credit Memo";" ";"Cr�it M�o";" "
"credit.ok";"Credit OK";" ";"Cr�it OK";" "
"credit.order";"Credit Order";" ";"Vente �cr�it";" "
"credit.order.discount";"Credit Order Discount";" ";"Remise sur vente �cr�it";" "
"credit.stop";"Credit Stop";" ";"Cr�it suspendu";" "
"credit.watch";"Credit Watch";" ";"Cr�it sous surveillance";" "
"current.month";"Current Month";" ";"Mois actuel";" "
"current.till.amount";"Current Till Amount";" ";"Montant en caisse";" "
"current.week";"Current Week";" ";"Semaine actuelle";" "
"current.year";"Current Year";" ";"Ann� actuelle";" "
"custom";"Custom";" ";"Personnalis�;" "
"custom.sales.reports";"Custom Sales Report";" ";"Tableaux de bords personnalis�";" "
"customer";"Customer";" ";"Client";" "
"customer.id";"Customer ID";" ";"Identification client";" "
"customer.info";"Customer Info";" ";"Information client";" "
"customer.returned.order";"Customer Returned Order";" ";"Retour client";" "
"customervendor";"Customer/Vendor";" ";"Client/Fournisseur";" "
"date.created";"Date Created";" ";"Date de cr�tion";" "
"date.from";"From";" ";"De";" "
"date.ordered";"Date Ordered";"Date Ordered";"Date de commande";" "
"date.range";"Date Range";" ";"P�iode";" "
"date.to";"to";" ";"�;" "
"deactivate";"De-activate";" ";"D�activer";" "
"deactivate.vendor";"Deactivate Vendor";" ";"D�activer fournisseur";" "
"dealer.name";"Dealer Name";" ";"Nom client";" "
"default";"Default";" ";"Par d�aut";" "
"delete";"Delete";" ";"Supprimer";" "
"delete.selected";"Delete Selected";" ";"Supprimer la s�ection";" "
"design";"Design";" ";"Dessin";" "
"discount.amt";"Discount";" ";"Escompte";" "
"discounted.price";"Discounted Price";" ";"Prix sold�;" "
"display";"Display";" ";"Display";" "
"display.all.records";"Do you want to display all records?";" ";"Voulez vous voir toute les entr�s?";" "
"doc.basis.type";"Doc Basis Type";" ";"Type de document";" "
"download.csv";"Download CSV";" ";"T��harger en CSV";" "
"drafted";"Drafted";" ";"Brouillon";" "
"dunning.letters.printed.successfully";"Dunning letters have been printed successfully";" ";"Les lettres ont ��imprim�s";" "
"edit";"Edit";" ";"Modifier";" "
"edit.attribute";"Edit Attribute";" ";"Modifier les attributs";" "
"edit.black.listed.cheque";"Edit Black Listed Cheque";" ";"Modifier la liste des ch�ues  non recevables";" "
"edit.customer";"Edit Customer";" ";"Modifier client";" "
"edit.price";"Edit Price";" ";"Modifier prix";" "
"edit.price.list";"Edit Price List";" ";"Modifier la liste de prix";" "
"edit.product";"Edit Product";" ";"�iter le produit";" "
"edit.related.products";"Edit related products details";" ";"Modifier les d�ails des produits";" "
"edit.role";"Edit Role";" ";"Modifier le r�e";" "
"edit.user";"Edit User";" ";"Modifier utilisateur";" "
"edit.vendor";"Edit Vendor";" ";"�iter le fournisseur";" "
"enable.printing";"Enable printing";" ";"Permettre l`impression";" "
"enter";"ENTER";" ";"Entrer";" "
"excl.vat";"(excl. VAT)";" ";"TVA exclu";" "
"fast.moving.item";"Fast Moving Items Report";" ";"Tableau des produits les PLUS vendus";" "
"fast.moving.item.current.month";"Fast Moving Items Report (Current Month)";" ";"Tableau des produits les PLUS vendus (MOIS courant)";" "
"fast.moving.item.today";"Fast Moving Items Report (Today)";" ";"Tableau des produits les PLUS vendus (aujourd'hui)";" "
"filter.by";"Filter By";" ";"Filtrer par";" "
"filter.type";"Choose the type of filter";" ";"Choisir le type de filtre";" "
"first";"First";" ";"Premier";" "
"fixed";"Fixed";" ";"Fixe";" "
"float.amt.change";"This is the float amount for today. Please Enter float amount for the next day if needs to be changed.";" ";"Ceci est le fond de caisse pour aujourd'hui. Pri�e d'entrer le fond de caisse pour le jour suivant si besoin est.";" "
"footer.copyright";"All Contents &copy;2006 Tamak ICT";" ";" ";"Tout contenues et copies r�erv�"
"found.none";"Found None";" ";"Aucune information correspond �la recherche";" "
"from";"From";" ";"De";" "
"garment.template";"Garment Template";" ";"Mod�e pour v�ement";" "
"generate.commission";"Generate Commission";" ";"G��er les commissions";" "
"goods.received.note";"Goods Received Note";" ";"Achat produit";" "
"goods.returned.note";"Goods Returned Note";" ";"Retour produit";" "
"hide.details";"Hide Details";" ";"Cacher d�ails";" "
"import.black.listed";"Import Black Listed Cheques";" ";"Importer la liste de ch�ues non recevables";" "
"import.blacklisted.message1";"This utility is to import the a list of Black Listed Cheques from a csv file into the system,<br>The csv file should look like the one shown below including the header:";" ";"Cet outil aide �importer une liste de ch�ue non recevables dans l'application a partir d'un fichier CSV. <br> le ficher CSV doit �re importe sous le m�e format que celui de l'exemple ci-dessous en incluant l'en-t�e";" "
"import.list";"Import List";" ";"Importer la liste";" "
"import.product.message";"This utility is to import the products & Stock in Hand from a csv file into the system,<br> For importing the garment products, the CSV file name should containg the word 'Garment' <br>The csv file should look like the one shown below including the header";" ";"Cet outil aide �importer une liste de produit accompagner du stock dans l'application a partir d'un fichier CSV. <br> le ficher CSV doit �re importe sous le m�e format que celui de l'exemple ci-dessous en incluant l'en-t�e";" "
"incl.vat";"(incl. VAT)";" ";"( TVA inclue)";" "
"inprogress";"InProgress";" ";"En cours";" "
"invalid";"Invalid";" ";"Non valable";" "
"invoice.no";"Invoice No";" ";"No de facture";" "
"invoke";"Invoke";" ";"Chercher";" "
"invoke.customer.returned.order";"Invoke";" ";"Chercher r��ence pour retour client";" "
"invoke.partial";"Invoke Partial POS Order";" ";"Chercher Ordre de vente partiel";" "
"items";"Items";" ";"Items";" "
"last";"Last";" ";"Suivant";" "
"last.2.months";"Last 2 Months";" ";"Deux derniers mois";" "
"last.2.weeks";"Last 2 Weeks";" ";"Deux derni�es semaines";" "
"last.3.months";"Last 3 Months";" ";"Les 3 derniers mois";" "
"last.3.weeks";"Last 3 Weeks";" ";"Les 3 derni�es semaines";" "
"last.6.month";"Last 6 Months";" ";"Les 6 derniers mois";" "
"license.name";"License Name";"License Name";"Nom de la Licence";" "
"license.valid";"License Valid";"License Valid";"Licence valide";" "
"licensed.distribution";"Licensed Distribution";" ";"Distribution de la licence";" "
"licensed.module";"Licensed Modules";" ";"Module de la Licence";" "
"licensing.info";"Licensing Information";" ";"Information de la licence";" "
"list";"List";" ";"Liste";" "
"login.home.all.contents";"All content";" ";"Tout le contenu";" "
"login.home.loginForgot";"Forgot password?";" ";"Vous avez oubli�votre mot de passe?";" "
"login.home.message1";"Please enter your username and password";" ";"Veuillez entrer votre identifiant et votre mot de passe";" "
"login.home.message2";"Please enter PIN";" ";"Entrer votre code secret";" "
"login.home.password";"Password";" ";"Mot de passe";" "
"login.home.username";"Username";" ";"Nom utilisateur";" "
"login.password.backToLogin";"&nbsp; Click Here to go back to the Login Screen";" ";" ";"&nbsp"
"login.password.passwordSent";"Your password has been sent you should receive it in a few minutes";" ";"Votre mot de passe vous a ��envoy� vous devriez le recevoir d'ici quelques minutes";" "
"marked.price";"Marked Price";" ";"Prix affich�;" "
"max.active.users";"Max Active Users";" ";"Max d`utilisateur valide";" "
"max.sold.item";"Max sold Item";" ";"Items";" "
"menus";"Menus";" ";"Menus";" "
"min.item.sold";"Min Item Sold";" ";"Min d'article vendus";" "
"mixed";"Mixed";" ";"mixe";" "
"mobile";"Moblie No";" ";"GSM";" "
"model";"Model";" ";"Mod�e";" "
"month";"Month";" ";"Mois";" "
"net.amt";"Net Amount";" ";"Montant Net";" "
"net.cash.trx";"Net Cash Trx";" ";"Montant Net en esp�e";" "
"net.transaction";"Net Transaction";" ";"Transaction net";" "
"new.attribute.value";"New Attribute Value";" ";"Nouvel valeur pour l'attribue";" "
"new.credit.order";"New Credit Order";" ";"Nouvel vente �cr�it";" "
"new.customer";"New Customer";" ";"Nouveau client";" "
"new.customer.return.order";"New Customer Return Order";" ";"Nouveau retour client";" "
"new.goods.received.note";"New Goods Receive Note";" ";"Nouvel achat produit";" "
"new.goods.returned.note";"New Goods Returned Note";" ";"Nouveau retour produit";" "
"new.order";"New Order";" ";"Nouvel vente";" "
"new.price";"New Price";" ";"Nouveau prix";" "
"no";"No";" ";"No";" "
"no.customer.was.found.for";"No customer was found for";" ";"Aucun client n'a ��trouv�pour votre recherche:";" "
"no.shipment";"No Shipment";" ";"No d`exp�ition";" "
"no.vendor.was.found.for";"No vendor was found for";" ";"Aucun fournisseur n'a ��trouv�pour votre recherche:";" "
"normal.template";"Normal Template";" ";"Mod�e normal";" "
"not.authorised.to.give.discount";"It seems that you are not authorised to give discounts";" ";"Vous n'avez pas le droit de donner des remises";" "
"not.found";"Not Found";" ";"Ne peux pas �re trouv�;" "
"notes";"Notes";"Notes";"Coin";" "
"num.active.users";"No of Active Users";" ";"Nombre d`utilisateur actif";" "
"num.operations";"Number of Operations";" ";"Nombre d`op�ation";" "
"old.attribute.value";"Old Attribute Value";" ";"Ancienne valeur de l'attribue";" "
"open.invoices";"Open Invoices";" ";"Ouvrir factures";" "
"opening.balance";"Opening Balance";" ";"Balance d'ouverture";" "
"order.no";"Order No";" ";"num�o de facture";" "
"order.type";"Order Type";" ";"Type de facture";" "
"organisation.name";"Organisations";" ";"Organisation";" "
"partial.pos.order";"Partial POS Order";" ";"Vente partielle";" "
"partial.pos.order.history";"Partial POS Order History";" ";"Historique des ventes partielles";" "
"payment.allocation";"Payment Allocation";" ";"Allocation de payement";" "
"payment.by";"Payment By";" ";"Paiement par";" "
"payment.details";"Payment Details";" ";"D�ails des paiements";" "
"payment.num";"Payment No";"Payment No";"Num�o du paiement";" "
"payment.status";"Payment Status";"Payment Status";"Statue du paiement";" "
"payment.terms";"Payment Terms";" ";"Terme de paiement";" "
"payment.type";"Payment Type";" ";"Type de paiement";" "
"periodic.cash.details";"Periodic Cash Book Details";" ";"D�ails du livre de caisse par p�iode";" "
"please.enter.pin";"Please enter PIN";" ";"Entrer votre code secret";" "
"pmenu.administration";"Administration";" ";"Administration";" "
"pmenu.cash.sales";"Cash Sales";" ";"Ventes";" "
"pmenu.credit.sales";"Credit Sales";" ";"Ventes �Cr�it";" "
"pmenu.performance.analysis";"Performance Analysis";" ";"Tableaux de bords";" "
"pmenu.purchases";"Purchases";" ";"Achat";" "
"pmenu.stock";"Stock";" ";"Stock";" "
"pos.info";"POS Info";" ";"Information du point de vente";" "
"pos.info.current.month";"POS Info  (Current Month)";" ";"Information du point de vente(du mois)";" "
"pos.info.custom";"POS Info  (Custom)";" ";"Information du point de vente(Personnalis�";" "
"pos.info.today";"POS Info (Today)";" ";"Information du point de vente(aujourd'hui)";" "
"pos.name";"POS Name";" ";"Nom de point de vente";" "
"pos.order";"POS Order";" ";"Facture";" "
"pos.order.history";"POS Order History";" ";"Historique des factures";" "
"posPassowrd.welcome";"Welcome to Tamak POS";" ";"Bienvenue";" "
"postalAddr";"Postal Address";" ";"Adresse postale";" "
"preference.themes";"Themes";" ";"Th�es";" "
"preferences";"Preferences";" ";"Preferences";" "
"prepared.order";"Prepared Order";" ";"Ventes partielles";" "
"prev";"Prev";" ";"Pr��ent";" "
"print.barcode";"Print Barcode";" ";"Imprimer code barre";" "
"print.dunning.letters";"Print Dunning Letters";" ";"Imprimer lettres de rappels";" "
"print.fidelity.card";"Print Fidelity Card";" ";"Imprimer carte de fid�it�;" "
"print.order";"Print Order";" ";"Imprimer facture";" "
"print.pdf";"Print PDF";" ";"Imprimer PDF";" "
"printer.enabled";"Printer enabled";" ";"Imprimante active";" "
"printer.name";"Printer name";" ";"Nom de l`imprimante";" "
"product.already.exists";"Product name already exists!";" ";"Nom du produit est d��existant";" "
"product.id";"Product ID";" ";"ID Produit";" "
"product.info";"Product Info";" ";"Information Produit";" "
"product.type.item";"Item";" ";"Items";" "
"product.type.services";"Services";" ";"Services";" "
"product.updated";"The Products have been updated";" ";"Les produits ont ��mis �jour";" "
"profit.margin";"Profit Margin";" ";"Marge brute";" "
"purchase.price";"Purchase Price";" ";"Prix d'achat";" "
"qty.received";"Qty Received";" ";"Quantit� re�es";" "
"qty.returned.by.customer";"Qty Returned By Customer";" ";"Quantit�retourn�par le client";" "
"qty.returned.to.supplier";"Qty Returned to Supplier";" ";"Quantit�retourn�au fournisseur";" "
"qty.sold";"Qty Sold";" ";"Quantit�vendues";" "
"reason.message";"Reason";" ";"Raison";" "
"record.found";"Records found";" ";"Donn� trouv�s";" "
"records.per.page";"records per page";" ";"Donn� par page";" "
"remote.printing";"Remote printing";" ";"Imprim��distance";" "
"remove.customer.fidelity.card";"Remove Customer for fidelity card";" ";"Enlever client";" "
"report.filter.settings";"Report Filter Settings";" ";"R�lage du filtre des tableaux";" "
"reprint";"Reprint";" ";"R�mprimer";" "
"returned.order";"Returned Order";" ";"Retour";" "
"revenue";"Revenue";" ";"Chiffre d'affaires";" "
"sales.details";"Sales Details";" ";"D�ail de ventes";" "
"sales.order";"Sales Order";" ";"Ventes";" "
"sales.price";"Sales Price";" ";"Prix de vente";" "
"sales.reports";"Sales Reports";" ";"Tableau de vente";" "
"save";"Save";" ";"Save";" "
"save.as.csv";"Save as CSV";" ";"Sauvegarder en CSV";" "
"search";"Search";" ";"Rechercher";" "
"search.customer";"Search Customer";" ";"Rechercher un client";" "
"search.customer.notfound";"No customers were found for";" ";"Pas de clients trouv�pour";" "
"search.product";"Search Product";" ";"Rechercher un produit";" "
"search.product.notfound";"No products were found for:";" ";"Aucun produit n'a ��trouv�pour votre recherche:";" "
"search.result.displaying";"Displaying";" ";"Affichage";" "
"search.result.of";"of";" ";"De";" "
"search.result.to";"to";" ";"Jusqu'�;" "
"search.results";"Search Results";" ";"Rechercher r�ultats";" "
"select";"Select";" ";"S�ectionner";" "
"select.all";"Select All";" ";"Tout S�ectionner";" "
"select.bpartner.type";"Select partner type";" ";"Choisir type de tiers";" "
"select.range";"Select Range";" ";"S�ectionner une p�iode";" "
"selected.customers";"Selected Customers";" ";"S�ectionner les clients";" "
"settle.payment";"Settle Payment";" ";"Paiement d'une facture";" "
"settle.payment.message";"NOTE:-The Cash Payments would have effect only when the cash book is closed";" ";"NOTE:-The Cash Payments would have effect only when the cash book is closed";" "
"shipment.no";"Shipment No";" ";"Num�o d`exp�ition";" "
"shipment.required";"Shipment Required";" ";"Exp�ition requise";" "
"shipment.status";"Shipment Status";"Shipment Status";"Statue de l`exp�ition";" "
"show.details";"Show Details";" ";"Montrer d�ails";" "
"size";"Size";" ";"Taille";" "
"slow.moving.item";"Slow Moving Items";" ";"Produits lents";" "
"smenu.adjust.cashbook";"Adjust Cash Book";" ";"Ajuster le livre de caisse";" "
"smenu.adjust.inventory.id";"Adjust Inventory";" ";"Ajuster l'inventaire";" "
"smenu.adjust.stock.id";"Stock Adjustment";" ";"Ajuster le stock";" "
"smenu.bpartner.sales.details";"Business Partner Sales Details";" ";"Info sur tiers";" "
"smenu.bpartners";"Business Partners";" ";"Tiers";" "
"smenu.cash.sales";"Cash Sales";" ";"Ventes";" "
"smenu.cash.sales.customer.complusory";"Cash Sales (Customer Compulsory)";" ";"Ventes (Client obligatoire)";" "
"smenu.cash.sales.history";"Cash Sales History";" ";"Historique des ventes";" "
"smenu.cash.sales.multiple.payments";"Cash Sales (Discount/Multiple Payments)";" ";"Ventes (Remises/Paiements multiples)";" "
"smenu.cashbook.history";"Cash Book History";" ";"Historique du livre de caisse";" "
"smenu.cashbook.report";"Cash Book Report";" ";"Tableaux de bords du livre de caisse";" "
"smenu.check.repair.database.integrity";"Check/Repair Database Integrity";" ";"V�ifier/R�arer l'int�rit�de la base de donn�s";" "
"smenu.close.till";"Close Till";" ";"Fermer la caisse";" "
"smenu.complete.prepared.order";"Complete Prepared Order";" ";"Compl��une vente partielle";" "
"smenu.create.unallocated.payment.id";"Create General Payments";" ";"Cr�r un paiement g��al";" "
"smenu.credit.memo.history.id";"Credit Memo History";" ";"Credit Memo History";" "
"smenu.credit.sales";"Credit Sales";" ";"Ventes �cr�it";" "
"smenu.credit.sales.history";"Credit Sales History";" ";"Historique des ventes �cr�it";" "
"smenu.creditmemo.from.creditorder.id";"Invoke Credit Memo";" ";"Chercher r��ence pour vente �cr�it";" "
"smenu.current.money.in.terminal";"Current Money in Terminal";" ";"Montant du terminal";" "
"smenu.customer.return.history.id";"Customer Return History";" ";"Customer Return History";" "
"smenu.customer.returned.order";"Customer Returned Order";" ";"Retour client";" "
"smenu.customers";"Customers";" ";"Clients";" "
"smenu.document.history";"Document History";" ";"Historique des documents";" "
"smenu.dunning.letters";"Dunning Letters";" ";"Lettres de rappelles";" "
"smenu.edit.product.attribute.value";"Edit Product Attribute Value";" ";"�iter valeur de l'attribut du produit";" "
"smenu.fast.moving.items";"Fast Moving Items";" ";"Tableaux des produits les plus vendus";" "
"smenu.generate.commission";"Generate Commission";" ";"G��er les commissions";" "
"smenu.goods.received.note";"Goods Received Note";" ";"Achat produit";" "
"smenu.goods.received.note.history";"Goods Received Note History";" ";"Historique des achats produit";" "
"smenu.goods.returned.note";"Goods Returned Note";" ";"Retour produit";" "
"smenu.goods.returned.note.history";"Goods Returned Note History";" ";"Historique des retours produit";" "
"smenu.inventory.history.id";"Inventory History";" ";"Historique des inventaires";" "
"smenu.invoke.customer.returned.order";"Invoke Customer Returned Order";" ";"Rechercher retour client";" "
"smenu.logout";"Logout";" ";"Quitter";" "
"smenu.open.cashdrawer";"Open Cash Drawer";" ";"Ouvrir la caisse";" "
"smenu.order.history";"Order History";" ";"Historique des ventes";" "
"smenu.payment.allocation.history";"Payment Allocations History";" ";"Historique des allocations de paiement";" "
"smenu.payment.term";"Payment Term";" ";"Allocation de payement";" "
"smenu.performance.analysis.report";"Performance Analysis Report";" ";"Tableaux de bords";" "
"smenu.preferences";"Preferences";" ";"Pr��ences";" "
"smenu.prepare.order";"Prepare Order";" ";"Ventes partielles";" "
"smenu.prepared.order.history";"Prepared Order History";" ";"Historique des ventes partielles";" "
"smenu.products";"Products";" ";"Produits";" "
"smenu.quick.cash.sales";"Quick Cash Sales";" ";"Ventes rapide";" "
"smenu.role";"Role";" ";"R�e";" "
"smenu.sales.report.per.terminal";"Sales Report per Terminal";" ";"Tableaux de bords par terminal";" "
"smenu.settle.payment.credit.sales";"Settle Payment on a Credit Sales";" ";"Paiement pour ventes �cr�it";" "
"smenu.slow.moving.items";"Slow Moving Items";" ";"Tableaux des produits les moins vendus";" "
"smenu.stock";"Stock";" ";"Stock";" "
"smenu.stock.movement";"Stock Movement";" ";"Mouvement du stock";" "
"smenu.tax";"Tax";" ";"Taxe";" "
"smenu.users";"Users";" ";"Utilisateur";" "
"smenu.vendors";"Vendors";" ";"Fournisseurs";" "
"smenu.view.last.generated.commission";"Last Generated Commission";" ";"Visualiser les derni�es commissions g���s";" "
"smenu.view.licensing";"Licensing";" ";"Visualiser licence";" "
"status";"Status";"Status";"Statues";" "
"stock.in.hand";"Stock in Hand";" ";"Stock disponible";" "
"stock.inquiry";"Stock Inquiry";" ";"Interrogation du stock";" "
"stock.movement";"Stock Movement";" ";"Mouvement du stock";" "
"stock.movement.report";"Stock Movement Report";" ";"�ats sur les mouvements de stock";" "
"submit";"Submit";" ";"Soumettre";" "
"summary.by.periods";"Summary By Period";" ";"R�um�par p�iode";" "
"switch.to.paging";"Switch to Paging";" ";"Changer la pagination";" "
"tamak.pos";"TAMAK ICT WARMS";" ";"Tamak ICT ARMS";" "
"tax.credit";"Tax Credit";" ";"Cr�it de TVA";" "
"tax.due";"Tax Due";" ";"TVA d";" "
"texttile.products.only";"Textile Products Only";" ";"Produits textiles uniquement";" "
"the.cart.has";"The Cart has";" ";"Le caddie contient:";" "
"till.balance.entered";"Till Balance Entered";" ";"Balance de la caisse entr�par vendeur";" "
"till.management";"Till Mgt";" ";"G�er la caisse";" "
"till.no";"Till No";" ";"No de caisse";" "
"time.hour";"h";" ";"H";" "
"time.minute";"m";" ";"Min";" "
"to";"To";" ";"Jusqu'�;" "
"today";"Today";" ";"Aujourd'hui";" "
"total";"Total";" ";"Total";" "
"total.price";"Total Price";" ";"Prix total";" "
"trade.revenue";"Trade Revenue";" ";"Chiffre d'affaires";" "
"unallocated.payments";"Unallocated Payments";" ";"Paiements non assign�;" "
"update.details";"Update Details";" ";"Mise �jour";" "
"user";"User";" ";"Utilisateur";" "
"user.details";"User's Details";" ";"D�ails utilisateur";" "
"user.info";"Information";" ";"Information";" "
"vat";"VAT";" ";"TVA";" "
"vendor.details";"Vendor Details";" ";"D�ails fournisseurs";" "
"vendor.ref";"Vendor Ref";" ";"R��ence fournisseur";" "
"vendors";"Vendors";" ";"Fournisseurs";" "
"view";"View";" ";"Visualiser";" "
"view.attributes";"View Attributes";"View Attributes";"Visualiser attribues";" "
"view.by";"View By";" ";"Visualiser par";" "
"view.info";"View Info";" ";"Visualiser Info";" "
"view.product.cart";"View Product Cart";" ";"Visualiser caddie";" "
