"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]","[tri]"
1618,"1618 - Alte împrumuturi din emisiuni de obligaţiuni","1618 - Alte împrumuturi din emisiuni de obligaţiuni","Liability","Credit",,"No",,161,1618,"1618 - Alte împrumuturi din emisiuni de obligaţiuni",,,,,,,,,161800003
162,"162 - CREDITE BANCARE PE TERMEN LUNG","162 - Credite bancare pe termen lung","Liability","Credit",,"Yes",,16,162,"162 - CREDITE BANCARE PE TERMEN LUNG",,,,,,,,,162000002
1621,"1621 - Credite bancare pe termen lung","1621 - Credite bancare pe termen lung","Liability","Credit",,"No",,162,1621,"1621 - Credite bancare pe termen lung",,,,,,,,,162100003
1622,"1622 - Credite bancare pe termen lung nerambursate la scadenta","1622 - Credite bancare pe termen lung nerambursate la scadenta","Liability","Credit",,"No",,162,1622,"1622 - Credite bancare pe termen lung nerambursate la scadenta",,,,,,,,,162200003
1623,"1623 - Credite externe guvernamentale","1623 - Credite externe guvernamentale","Liability","Credit",,"No",,162,1623,"1623 - Credite externe guvernamentale",,,,,,,,,162300003
1624,"1624 - Credite bancare externe garantate de stat","1624 - Credite bancare externe garantate de stat","Liability","Credit",,"No",,162,1624,"1624 - Credite bancare externe garantate de stat",,,,,,,,,162400003
1625,"1625 - Credite bancare externe garantate de bănci","1625 - Credite bancare externe garantate de bănci","Liability","Credit",,"No",,162,1625,"1625 - Credite bancare externe garantate de bănci",,,,,,,,,162500003
1626,"1626 - Credite de la trezoreria statului","1626 - Credite de la trezoreria statului","Liability","Credit",,"No",,162,1626,"1626 - Credite de la trezoreria statului",,,,,,,,,162600003
1627,"1627 - Credite bancare interne garantate de stat","1627 - Credite bancare interne garantate de stat","Liability","Credit",,"No",,162,1627,"1627 - Credite bancare interne garantate de stat",,,,,,,,,162700003
166,"166 - DATORII CE PRIVESC IMOBILIZARILE FINANCIARE","166 - Datorii ce privesc imobilizările financiare","Liability","Credit",,"Yes",,16,166,"166 - DATORII CE PRIVESC IMOBILIZARILE FINANCIARE",,,,,,,,,166000002
1661,"1661 - Datorii către societăţile din cadrul grupului","1661 - Datorii către societăţile din cadrul grupului","Liability","Credit",,"No",,166,1661,"1661 - Datorii către societăţile din cadrul grupului",,,,,,,,,166100003
1662,"1662 - Datorii către societăţile care deţin interese de participare","1662 - Datorii către societăţile care deţin interese de participare","Liability","Credit",,"No",,166,1662,"1662 - Datorii către societăţile care deţin interese de participare",,,,,,,,,166200003
167,"167 - ALTE IMPRUMUTURI ŞI DATORII ASIMILATE","167 - Alte împrumuturi şi datorii asimilate","Liability","Credit",,"No",,16,167,"167 - ALTE IMPRUMUTURI ŞI DATORII ASIMILATE",,,,,,,,,167000002
168,"168 - DOBÂNZI AFERENTE ÎMPRUMUTURILOR ŞI DATORIILOR ASIMILAT","168 - Dobânzi aferente împrumuturilor şi datoriilor asimilate","Liability","Credit",,"Yes",,16,168,"168 - DOBÂNZI AFERENTE ÎMPRUMUTURILOR ŞI DATORIILOR ASIMILAT",,,,,,,,,168000002
1681,"1681 - Dobânzi aferente împrumuturilor din emisiuni de obligaţiuni","1681 - Dobânzi aferente împrumuturilor din emisiuni de obligaţiuni","Liability","Credit",,"No",,168,1681,"1681 - Dobânzi aferente împrumuturilor din emisiuni de obligaţiuni",,,,,,,,,168100003
1682,"1682 - Dobânzi aferente creditelor bancare pe termen lung","1682 - Dobânzi aferente creditelor bancare pe termen lung","Liability","Credit",,"No",,168,1682,"1682 - Dobânzi aferente creditelor bancare pe termen lung",,,,,,,,,168200003
1685,"1685 - Dobânzi aferente datoriilor către societăţile din cadrul grupului","1685 - Dobânzi aferente datoriilor către societăţile din cadrul grupului","Liability","Credit",,"No",,168,1685,"1685 - Dobânzi aferente datoriilor către societăţile din cadrul grupului",,,,,,,,,168500003
1686,"1686 - Dobânzi aferente datoriilor către societăţile care deţin interese de participare","1686 - Dobânzi aferente datoriilor către societăţile care deţin interese de participare","Liability","Credit",,"No",,168,1686,"1686 - Dobânzi aferente datoriilor către societăţile care deţin interese de participare",,,,,,,,,168600003
1687,"1687 - Dobânzi aferente altor împrumuturi şi datorii asimilate","1687 - Dobânzi aferente altor împrumuturi şi datorii asimilate","Liability","Credit",,"No",,168,1687,"1687 - Dobânzi aferente altor împrumuturi şi datorii asimilate",,,,,,,,,168700003
169,"169 - PRIME PRIVIND RAMBURSAREA OBLIGATIUNILOR","169 - Prime privind rambursarea obligaţiunilor","Asset","Natural",,"No",,16,169,"169 - PRIME PRIVIND RAMBURSAREA OBLIGATIUNILOR",,,,,,,,,169000002
2,"2 - CONTURI DE IMOBILIZARI","2 - CONTURI DE IMOBILIZARI","Asset",,,"Yes",,,2,"2 - CONTURI DE IMOBILIZARI",,,,,,,,,200000000
20,"20 - IMOBILIZĂRI NECORPORALE","20 - IMOBILIZĂRI NECORPORALE","Asset",,,"Yes",,2,20,"20 - IMOBILIZĂRI NECORPORALE",,,,,,,,,200000001
201,"201 - Cheltuieli de constituire","201 - Cheltuieli de constituire","Asset","Debit",,"No",,20,201,"201 - Cheltuieli de constituire",,,,,,,,,201000002
203,"203 - Cheltuieli de dezvoltare","203 - Cheltuieli de dezvoltare","Asset","Debit",,"No",,20,203,"203 - Cheltuieli de dezvoltare",,,,,,,,,203000002
205,"205 - Concesiuni, brevete, licenţe, mărci comerciale, drepturi şi active similare","205 - Concesiuni, brevete, licenţe, mărci comerciale, drepturi şi active similare","Asset","Debit",,"No",,20,205,"205 - Concesiuni, brevete, licenţe, mărci comerciale, drepturi şi active similare",,,,,,,,,205000002
207,"207 - FOND COMERCIAL","207 - Fond comercial","Asset","Debit",,"Yes",,20,207,"207 - FOND COMERCIAL",,,,,,,,,207000002
2071,"2071 - FOND COMERCIAL","2071 - Fond comercial","Asset","Debit",,"No",,207,2071,"2071 - FOND COMERCIAL",,,,,,,,,207100003
2075,"2075 - FOND COMERCIAL NEGATIV","2075 - Fond comercial negativ","Liability","Credit",,"No",,207,2075,"2075 - FOND COMERCIAL NEGATIV",,,,,,,,,207500003
208,"208 - ALTE IMOBILIZĂRI NECORPORALE","208 - Alte imobilizări necorporale","Asset","Debit",,"No",,20,208,"208 - ALTE IMOBILIZĂRI NECORPORALE",,,,,,,,,208000002
21,"21 - IMOBILIZARI CORPORALE","21 - IMOBILIZĂRI CORPORALE","Asset","Debit",,"Yes",,2,21,"21 - IMOBILIZARI CORPORALE",,,,,,,,,210000001
211,"211 - TERENURI ŞI AMENAJĂRI DE TERENURI","211 - Terenuri şi amenajări de terenuri","Asset","Debit",,"Yes",,21,211,"211 - TERENURI ŞI AMENAJĂRI DE TERENURI",,,,,,,,,211000002
2111,"2111 - Terenuri","2111 - Terenuri","Asset","Debit",,"No",,211,2111,"2111 - Terenuri",,,,,,,,,211100003
2112,"2112 - Amenajări de terenuri","2112 - Amenajări de terenuri","Asset","Debit",,"No",,211,2112,"2112 - Amenajări de terenuri",,,,,,,,,211200003
212,"212 - CONSTRUCŢII","212 - Construcţii","Asset","Debit",,"No",,21,212,"212 - CONSTRUCŢII",,,,,,,,,212000002
213,"213 - INSTALATII TEHNICE MIJLOACE DE TRANSPORT ANIMALE SI PL","213 - Instalaţii tehnice mijloace de transport animale şi plantaţii","Asset","Debit",,"Yes",,21,213,"213 - INSTALATII TEHNICE MIJLOACE DE TRANSPORT ANIMALE SI PL",,,,,,,,,213000002
2131,"2131 - Echipamente tehnologice (maşini utilaje şi instalaţii de lucru)","2131 - Echipamente tehnologice (maşini utilaje şi instalaţii de lucru)","Asset","Debit",,"No",,213,2131,"2131 - Echipamente tehnologice (maşini utilaje şi instalaţii de lucru)",,,,,,,,,213100003
2132,"2132 - Aparate şi instalaţii de măsurare, control şi reglare","2132 - Aparate şi instalaţii de măsurare, control şi reglare","Asset","Debit",,"No",,213,2132,"2132 - Aparate şi instalaţii de măsurare, control şi reglare",,,,,,,,,213200003
2133,"2133 - Mijloace de transport","2133 - Mijloace de transport","Asset","Debit",,"No",,213,2133,"2133 - Mijloace de transport",,,,,,,,,213300003
2134,"2134 - Animale şi plantaţii ","2134 - Animale şi plantaţii ","Asset","Debit",,"No",,213,2134,"2134 - Animale şi plantaţii ",,,,,,,,,213400003
214,"214 - MOBILIER APARATURĂ BIROTICĂ ECHIPAMENTE DE PROTECŢIE","214 - Mobilier aparatură birotică echipamente de protecţie a valorilor umane şi materiale şi alte active corporale","Asset","Debit",,"No",,21,214,"214 - MOBILIER APARATURĂ BIROTICĂ ECHIPAMENTE DE PROTECŢIE",,,,,,,,,214000002
23,"23 - IMOBILIZĂRI ÎN CURS","23 - Imobilizări în curs","Asset","Debit",,"Yes",,2,23,"23 - IMOBILIZĂRI ÎN CURS",,,,,,,,,230000001
231,"231 - Imobilizări corporale în curs de execuţie","231 - Imobilizări corporale în curs de execuţie","Asset","Debit",,"No",,23,231,"231 - Imobilizări corporale în curs de execuţie",,,,,,,,,231000002
232,"232 - Avansuri acordate pentru imobilizări corporale","232 - Avansuri acordate pentru imobilizări corporale","Asset","Debit",,"No",,23,232,"232 - AVANSURI ACORDATE PENTRU IMOBILIZĂRI CORPORALE",,,,,,,,,232000002
233,"233 - Imobilizări necorporale în curs","233 - Imobilizări necorporale în curs","Asset","Debit",,"No",,23,233,"233 - IMOBILIZĂRI NECORPORALE ÎN CURS",,,,,,,,,233000002
234,"234 - Avansuri acordate pentru imobilizări necorporale","234 - Avansuri acordate pentru imobilizări necorporale","Asset","Debit",,"No",,23,234,"234 - AVANSURI ACORDATE PENTRU IMOBILIZĂRI NECORPORALE",,,,,,,,,234000002
26,"26 - IMOBILIZĂRI FINANCIARE","26 - IMOBILIZĂRI FINANCIARE","Asset","Debit",,"Yes",,2,26,"26 - IMOBILIZĂRI FINANCIARE",,,,,,,,,260000001
261,"261 - Acţiuni deţinute la entităţi afiliate","261 - Acţiuni deţinute la entităţi afiliate","Asset","Debit",,"No",,26,261,"261 - Acţiuni deţinute la entităţi afiliate",,,,,,,,,261000002
263,"263 - Interese de participare","263 - Interese de participare","Asset","Debit",,"Yes",,26,263,"263 - Interese de participare",,,,,,,,,263000002
265,"265 - Alte titluri imobilizate","265 - Alte titluri imobilizate","Asset","Debit",,"No",,26,265,"265 - Alte titluri imobilizate",,,,,,,,,265000002
267,"267 - Creanţe imobilizate","267 - Creanţe imobilizate","Asset","Debit",,"Yes",,26,267,"267 - Creanţe imobilizate",,,,,,,,,267000002
2671,"2671 - Sume datorate de entităţile afiliate","2671 - Sume datorate de entităţile afiliate","Asset","Debit",,"No",,267,2671,"2671 - Sume datorate de entităţile afiliate",,,,,,,,,267100003
2672,"2672 - Dobanda aferentă sumelor datorate de entităţile afiliate","2672 - Dobanda aferentă sumelor datorate de entităţile afiliate","Asset","Debit",,"No",,267,2672,"2672 - Dobanda aferentă sumelor datorate de entităţile afiliate",,,,,,,,,267200003
2673,"2673 - Creanţe legate de interesele de participare","2673 - Creanţe legate de interesele de participare","Asset","Debit",,"No",,267,2673,"2673 - Creanţe legate de interesele de participare",,,,,,,,,267300003
2674,"2674 - Dobanda aferentă creanţelor legate de interesele de participare","2674 - Dobanda aferentă creanţelor legate de interesele de participare","Asset","Debit",,"No",,267,2674,"2674 - Dobanda aferentă creanţelor legate de interesele de participare",,,,,,,,,267400003
2675,"2675 - Împrumuturi acordate pe termen lung","2675 - Împrumuturi acordate pe termen lung","Asset","Debit",,"No",,267,2675,"2675 - Împrumuturi acordate pe termen lung",,,,,,,,,267500003
2676,"2676 - Dobanda aferentă împrumuturilor acordate pe termen lung","2676 - Dobanda aferentă împrumuturilor acordate pe termen lung","Asset","Debit",,"No",,267,2676,"2676 - Dobanda aferentă împrumuturilor acordate pe termen lung",,,,,,,,,267600003
2678,"2678 - Alte creanţe imobilizate","2678 - Alte creanţe imobilizate","Asset","Debit",,"No",,267,2678,"2678 - Alte creanţe imobilizate",,,,,,,,,267800003
2679,"2679 - Dobânzi aferente altor creanţe imobilizate","2679 - Dobânzi aferente altor creanţe imobilizate","Asset","Debit",,"No",,267,2679,"2679 - Dobânzi aferente altor creanţe imobilizate",,,,,,,,,267900003
269,"269 - VĂRSĂMINTE DE EFECTUAT PENTRU IMOBILIZĂRI FINANCIARE","269 - Vărsăminte de efectuat pentru imobilizări financiare","Liability",,,"Yes",,26,269,"269 - VĂRSĂMINTE DE EFECTUAT PENTRU IMOBILIZĂRI FINANCIARE",,,,,,,,,269000002
2691,"2691 - Vărsăminte de efectuat privind titlurile deţinute la  entităţile afiliate","2691 - Vărsăminte de efectuat privind titlurile deţinute la  entităţile afiliate","Liability",,,"No",,269,2691,"2691 - Vărsăminte de efectuat privind titlurile deţinute la  entităţile afiliate",,,,,,,,,269100003
2692,"2692 - Vărsăminte de efectuat  privind interesele de participare","2692 - Vărsăminte de efectuat  privind interesele de participare","Liability",,,"No",,269,2692,"2692 - Vărsăminte de efectuat  privind interesele de participare",,,,,,,,,269200003
2693,"2693 -  Vărsăminte de efectuat pentru alte imobilizări financiare","2693 -  Vărsăminte de efectuat pentru alte imobilizări financiare","Liability",,,"No",,269,2693,"2693 -  Vărsăminte de efectuat pentru alte imobilizări financiare",,,,,,,,,269300003
28,"28 - AMORTIZĂRI PRIVIND IMOBILIZĂRILE","28 - AMORTIZĂRI PRIVIND IMOBILIZĂRILE","Liability",,,"Yes",,2,28,"28 - AMORTIZĂRI PRIVIND IMOBILIZĂRILE",,,,,,,,,280000001
280,"280 - AMORTIZĂRI PRIVIND IMOBILIZĂRILE NECORPORALE","280 - Amortizări privind imobilizările necorporale","Liability",,,"Yes",,28,280,"280 - AMORTIZĂRI PRIVIND IMOBILIZĂRILE NECORPORALE",,,,,,,,,280000002
2801,"2801 - Amortizarea cheltuielilor de constituire","2801 - Amortizarea cheltuielilor de constituire","Liability",,,"No",,280,2801,"2801 - AMORTIZAREA CHELTUIELILOR DE CONSTITUIRE",,,,,,,,,280100003
2803,"2803 - Amortizarea cheltuielilor de dezvoltare","2803 - Amortizarea cheltuielilor de dezvoltare","Liability",,,"No",,280,2803,"2803 - AMORTIZAREA CHELTUIELILOR DE DEZVOLTARE",,,,,,,,,280300003
2805,"2805 - Amortizarea concesiunilor brevetelor licenţelor mărcilor comerciale şi altor drepturi şi valori similare","2805 - Amortizarea concesiunilor brevetelor licenţelor mărcilor comerciale şi altor drepturi şi valori similare","Liability",,,"No",,280,2805,"2805 - AMORTIZAREA CONCESIUNILOR BREVETELOR LICENŢELOR MĂRCI",,,,,,,,,280500003
2807,"2807 - Amortizarea fondului comercial","2807 - Amortizarea fondului comercial","Liability",,,"No",,280,2807,"2807 - AMORTIZAREA FONDULUI COMERCIAL",,,,,,,,,280700003
2808,"2808 - Amortizarea altor imobilizări necorporale","2808 - Amortizarea altor imobilizări necorporale","Liability",,,"No",,280,2808,"2808 - AMORTIZAREA ALTOR IMOBILIZARI NECORPORALE",,,,,,,,,280800003
281,"281 - AMORTIZAREA PRIVIND IMOBILIZARILE CORPORALE","281 - Amortizarea privind imobilizările corporale","Liability",,,"Yes",,28,281,"281 - AMORTIZAREA PRIVIND IMOBILIZARILE CORPORALE",,,,,,,,,281000002
2811,"2811 - Amortizarea amenajărilor de terenuri","2811 - Amortizarea amenajărilor de terenuri","Liability",,,"No",,281,2811,"2811 - AMORTIZAREA AMENAJARILOR DE TERENURI",,,,,,,,,281100003
2812,"2812 - Amortizarea construcţiilor","2812 - Amortizarea construcţiilor","Liability",,,"No",,281,2812,"2812 - AMORTIZAREA CONSTRUCTIILOR",,,,,,,,,281200003
2813,"2813 - Amortizarea instalaţiilor mijloacelor de transport animalelor şi plantaţiilor","2813 - Amortizarea instalaţiilor mijloacelor de transport animalelor şi plantaţiilor","Liability",,,"No",,281,2813,"2813 - AMORTIZAREA INST. MIJLOACELOR DE TRANSPORT ANIMALELOR ŞI PLANTAŢIILOR",,,,,,,,,281300003
2814,"2814 - Amortizarea altor imobilizări corporale","2814 - Amortizarea altor imobilizări corporale","Liability",,,"No",,281,2814,"2814 - AMORTIZAREA ALTOR IMOBILIZĂRI CORPORALE",,,,,,,,,281400003
29,"29 -AJUSTĂRI PENTRU DEPRECIEREA SAU PIERDEREA DE VALOARE A IMOBILIZĂRILOR","29 -AJUSTĂRI PENTRU DEPRECIEREA SAU PIERDEREA DE VALOARE A IMOBILIZĂRILOR","Liability",,,"Yes",,2,29,"29 -AJUSTĂRI PENTRU DEPRECIEREA SAU PIERDEREA DE VALOARE A IMOBILIZĂRILOR",,,,,,,,,290000001
