"[Account_Value]","[Account_Name]","[Account_Description]","[Account_Type]","[Account_Sign]","[Account_Document]","[Account_Summary]","[Default_Account]","[Account_Parent]","[Balance Sheet]","[Balance Sheet_Name]","[US 1120 Balance Sheet]","US 1120 Balance Sheet_Name","[Profit & Loss]","[Profit & Loss_Name]","[US 1120 Income Statement]","[US 1120 Income Statement_Name]","[Cash Flow]","[Cash Flow_Name]"
12510,"ค่าเสื่อมราคาสะสม-ซอฟท์แวร์",,"Asset",,,"No",,124,,,,,,,,,,
13,"สินทรัพย์อื่น",,"Asset",,,"Yes",,1,13,"สินทรัพย์อื่น",,,,,,,,
131,"สินทรัพย์ไม่มีตัวตน",,"Asset",,,"Yes",,13,,,,,,,,,,
13110,"Amortizable Assets",,"Asset",,,"No",,131,,,"13a","Intangible Assets",,,,,,
13120,"ค่าความนิยม",,"Asset",,,"No",,131,,,"13a",,,,,,,
13130,"รายชื้อลูกค้า",,"Asset",,,"No",,131,,,"13a",,,,,,,
13140,"สินทรัพย์ไม่มีตัวตนอื่น",,"Asset",,,"No",,131,,,"13a",,,,,,,
13150,"ค่าใช้จ่ายรอตัดบัญชี",,"Asset",,,"No",,131,,,"13b","Less accumulated amortization",,,,,,
13160,"เงินที่จะได้คืนเมือยกเลิกประกันชีวิต",,"Asset",,,"No",,13,,,14,"Other Assets",,,,,,
13170,"สินทรัพย์อื่น",,"Asset",,,"No",,13,,,14,,,,,,,
2,"หนี้สิน",,"Liability",,,"Yes",,,2,"หนี้สิน",,,,,,,,
21,"หนี้สินหมุนเวียน",,"Liability",,,"Yes",,2,21,"หนี้สินหมุนเวียน",,,,,,,,
211,"เจ้าหนี้การค้า",,"Liability",,,"Yes",,21,211,"เจ้าหนี้การค้า",16,"Accounts Payable",,,,,,
21100,"เจ้าหนี้การค้า","Accounts Payables","Liability",,"Yes","No","V_LIABILITY_ACCT",211,,,,,,,,,,
21190,"เจ้าหนี้การค้า-ที่ยังไม่ได้รับใบกำกับสินค้า","Received products/services from vendors, but not invoiced","Liability",,"Yes","No","NOTINVOICEDRECEIPTS_ACCT",211,,,,,,,,,,
21200,"เจ้าหนี้การค้า-บริการ","Accounts Payables for non-product revenue","Liability",,"Yes","No","V_LIABILITY_SERVICES_ACCT",21,,,,,,,,,,
21300,"เจ้าหนี้ที่ถึงกำหนด","Selected A/P invoices for payment ","Liability",,"Yes","No","B_PAYMENTSELECT_ACCT",21,,,,,,,,,,
215,"รายรับล่วงหน้า",,"Liability",,,"Yes",,21,215,"รายรับล่วงหน้า",16,,,,,,,
21510,"รายได้รับล่วงหน้า","Prepayments for future revenue","Liability",,"Yes","No","C_PREPAYMENT_ACCT",215,,,,,,,,,,
21520,"เงืนมัดจำค่าสินค้า",,"Liability",,,"No",,215,,,,,,,,,,
21530,"เงินค้ำประกันการชำระหนี้",,"Liability",,,"No",,215,,,,,,,,,,
21540,"เงินมัดจำ-ใบสั่งซื้อสินค้าพิเศษ",,"Liability",,,"No",,215,,,,,,,,,,
216,"ภาษีจ่าย",,"Liability",,,"Yes",,21,216,"ภาษีจ่าย",18,"Other current liabilities",,,,,,
21610,"ภาษีขาย","Tax to be paid - before tax declaration","Liability",,"Yes","No","T_DUE_ACCT",216,,,,,,,,,,
21620,"ภาษีขายรอเรียกเก็บ",,,,,,"T_NOTDUE_ACCT",216,,,,,,,,,,
21630,"เจ้าหนี้กรมสรรพากร","Tax to be paid based on tax declaration","Liability",,"Yes","No","T_LIABILITY_ACCT",216,,,,,,,,,,
21700,"ภาษีเงินได้หัก ณ ที่จ่าย","Withholding for 1099 or Quality Guarantee","Liability",,"Yes","No","WITHHOLDING_ACCT",21,,,,,,,,,,
21800,"เจ้าหนี้บริษัทในเครือ","Default Payables account for intercompany trx","Liability",,"Yes","No","INTERCOMPANYDUETO_ACCT",21,,,,,,,,,,
22,"ค่าใช้จ่ายค้างจ่าย",,"Liability",,,"Yes",,2,22,"ค่าใช้จ่ายค้างจ่าย",18,,,,,,,
22100,"เงินเดือนค้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22200,"ภาษีเงินเดือนหัก ณ ที่จ่าย",,"Liability",,,"No","WITHHOLDINGAP_ACCT",22,,,,,,,,,,
22300,"ภาษีเงินเดือนหัก ณ ที่จ่ายค้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22350,"ค่าธรรมเนีืียมวิชาชิพค้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22351,"ค่าเบี้ยประกันค้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22352,"ค่าประกันสังคมค้้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22353,"ค่าอะไหล่ค้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22354,"ค่าน้ำมันค้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22355,"ค่าขนส่งค้างจ่าย",,"Liability",,,"No",,22,,,,,,,,,,
22900,"ค่าใช้จ่ายค้างจ่ายอื่น ๆ",,"Liability",,,"No",,22,,,,,,,,,,
23,"ตั๋วเงินจ่าย",,"Liability",,,"Yes",,2,23,"ตั๋วเงินจ่าย",17,"Mortgages, notes, bonds payable in less than 1 year",,,,,,
23100,"หนี้สินระยะสั้น",,"Liability",,,"No",,23,,,,,,,,,,
23900,"หนี้สินระยะยาวที่ถึงกำหนดภายในหนึ่งปี",,"Liability",,,"No",,23,,,,,,,,,,
24,"หนี้สินไม่หมุนเวียน",,"Liability",,,"Yes",,2,24,"หนี้สินไม่หมุนเวียน",,,,,,,,
24100,"หนี้สินระยะยาว",,"Liability",,,"No",,24,,,20,"Mortgages, notes, bonds payable in 1 year or more",,,,,,
24200,"เงินกู้",,"Liability",,,"No",,24,,,8,"Mortgage and real estate loan",,,,,,
24300,"เจ้าหนี้เงินกู้ยืมกรรมการ",,"Liability",,,"No",,24,,,19,"Loans from Shareholder",,,,,,
24800,"หนี้สินระยะยาวอื่น",,"Liability",,,"No",,24,,,21,"Other Liabilities",,,,,,
24900,"หนี้สินระยะยาวที่ถึงกำหนดภายในหนึ่งปี",,"Liability",,,"No",,24,,,20,,,,,,,
3,"ส่วนของผู้ถือหุ้น",,"Owner's Equity",,,"Yes",,,3,"ส่วนของผู้ถือหุ้น",,,,,,,,
31,"ทุนจดทะเบียน",,"Owner's Equity",,,"Yes",,3,31,"ทุนจดทะเบียน",,,,,,,,
31000,"หุ้นสามัญ",,"Owner's Equity",,,"No",,31,,,"22b","Capital Stock Preferred",,,,,,
31010,"ส่วนเกินมูลค่าหุ้นสามัญ",,"Owner's Equity",,,"No",,31,,,23,"Additional Paid-in Capital",,,,,,
31100,"หุ้นบุริมสิทธิ",,"Owner's Equity",,,"No",,31,,,"22a","Capital Stock Common",,,,,,
31110,"ส่วนเกินมูลค่าหุ้นบุริมสิทธิ",,"Owner's Equity",,,"No",,31,,,23,,,,,,,
32,"กำไรสะสม",,"Owner's Equity",,,"Yes",,3,32,"กำไรสะสม",25,"Retained Earnings",,,,,,
32100,"เงินปันผล",,"Owner's Equity",,,"No",,32,,,,,,,,,,
32200,"สำรองตามกฎหมาย",,"Owner's Equity",,,"No",,32,,,,,,,,,,
32900,"กำไรสะสม","Year end processing to balance account (Income Summary)","Owner's Equity",,"Yes","No","RETAINEDEARNING_ACCT",32,,,,,,,,,,
,,,,,,,,,33,"รวมกำไรสะสม",,,,,,,,
4,"รายได้",,"Revenue",,,"Yes",,,,,,,4,"Sales",,,,
41000,"รายได้จากการขาย","Default Product or Service revenue","Revenue",,"Yes","No","P_REVENUE_ACCT",4,,,,,,,"1a","Gross receipts or sales",,
42000,"รายได้จากการให้บริการ",,"Revenue",,,"No",,4,,,,,,,"1a",,,
43000,"รายได้จากการขายสินค้าปลีกย่อย",,"Revenue",,,"No",,4,,,,,,,"1a",,,
46000,"รายได้จากการสนับสนุน",,"Revenue",,,"No",,4,,,,,,,7,"Gross Royalties",,
47000,"รายได้ที่ยังไม่ได้จัดส่งสินค้า","We have invoiced, but not delivered yet","Revenue",,"Yes","No","UNEARNEDREVENUE_ACCT",4,,,,,,,"1a",,,
48000,"รายได้ที่ยังไม่รับรู้เป็นรายได้","We delivered but have not invoiced yet","Revenue",,"Yes","No","NOTINVOICEDREVENUE_ACCT",4,,,,,,,"1a",,,
48100,"รับคืน",,"Revenue",,,"No",,4,,,,,,,"1a",,,
49,"ส่วนลดจ่าย",,"Revenue",,,"Yes",,4,,,,,49,"Sales Discounts","1b","Less returns and allowances",,
49100,"ส่วนลดจ่าย-ส่วนลดการค้า","Granted Trade discounts (corrects Product Revenue)","Revenue",,"Yes","No","P_TRADEDISCOUNTGRANT_ACCT",49,,,,,,,,,,
49200,"ส่วนลดจ่าย-ส่วนลดเงินสด","Granted early payment discount to customers","Revenue",,"Yes","No","PAYDISCOUNT_EXP_ACCT",49,,,,,,,,,,
49300,"ส่วนลดส่งเสริมการขาย",,"Revenue",,,"No",,49,,,,,,,,,,
5,"ต้นทุนสินค้า",,"Expense",,,"Yes",,,,,,,5,"Cost of Goods Sold",2,"Cost of goods sold",,
51100,"ต้นทุนสินค้าที่ขาย","Cost of Goods Sold","Expense",,"Yes","No","P_COGS_ACCT",5,,,,,,,,,,
51200,"Product Expense","Default Service costs (I.e. not on inventory)","Expense",,"Yes","No","P_EXPENSE_ACCT",5,,,,,,,,,,
51210,"ปรับปรุงต้นทุนสินค้า","Product Cost Adjustments","Expense",,"Yes","No","P_COSTADJUSTMENT_ACCT",5,,,,,,,,,,
51250,"เพิ่มหนี้",,"Expense",,,"No",,5,,,,,,,,,,
51290,"Product Inventory Clearing","Default Product costs (I.e. on inventory)","Expense",,"Yes","No","P_INVENTORYCLEARING_ACCT",5,,,,,,,,,,
52000,"ซื้อบริการ",,"Expense",,,"No",,5,,,,,,,,,,
53000,"ซื้อสินค้าปลีกย่อย",,"Expense",,,"No",,5,,,,,,,,,,
54000,"ค่าขนส่งขาเข้า",,"Expense",,,"No",,5,,,,,,,,,,
55,"ส่งคืน",,"Expense",,,"Yes",,5,,,,,55,"Returns","1b",,,
55100,"ส่งคืน",,"Expense",,,"No",,55,,,,,,,,,,
55200,"ส่งคืนสินค้า",,"Expense",,,"No",,55,,,,,,,,,,
56,"ต้นทุนขายสินค้า",,"Expense",,,"Yes",,5,,,,,56,"Inventory CoGs",2,,,
56100,"สินค้าเสื่อมคุณภาพ","Physical Inventory Gain/Loss","Expense",,"Yes","No","W_DIFFERENCES_ACCT",56,,,,,,,,,,
56200,"ค่าเผื่อมูลค่าสินค้าลดลง",,"Expense",,,"No",,56,,,,,,,,,,
56300,"ปรับปรุงต้นทุนขายสินค้า","Inventory Actual Accounting Value Adjustment","Expense",,"Yes","No","W_INVACTUALADJUST_ACCT",56,,,,,,,,,,
56310,"ค่่าขนส่ง",,"Expense",,,"No",,56,,,,,,,,,,
56320,"ค่าน้ำมันรถบรรทุก",,"Expense",,,"No",,56,,,,,,,,,,
56330,"ค่าเสื่อมราคา-รถบรรทุก",,"Expense",,,"No",,56,,,,,,,,,,
56340,"ค่าเสื่อมราคา-เครื่องจักร",,"Expense",,,"No",,56,,,,,,,,,,
56350,"ค่าอะไหล่และอุปกรณ์",,"Expense",,,"No",,56,,,,,,,,,,
56360,"ค่าซ่อมแซม",,"Expense",,,"No",,56,,,,,,,,,,
56370,"ค่าซ่อมแฃมและวัสดุสิ้นเปลือง",,"Expense",,,"No",,56,,,,,,,,,,
56380,"ค่าเบี้ยประกัน-รถบรรทุก",,"Expense",,,"No",,56,,,,,,,,,,
56390,"ค่าภาษี-รถบรรทุก",,"Expense",,,"No",,56,,,,,,,,,,
56400,"ผลต่างราคาทุนกับราคาตลาด","Difference to (lower cost) or market","Expense",,"Yes","No","W_REVALUATION_ACCT",56,,,,,,,,,,
57000,"ค่าแรงทางตรง",,"Expense",,,"No",,5,,,,,,,,,,
58,"ส่วนต่างต้นทุนขาย",,"Expense",,,"Yes",,5,,,,,58,"CoGs Variances",2,,,
58100,"ผลต่างราคาทุนกับราคาขาย","Difference between product cost and invoice price (IPV)","Expense",,"Yes","No","P_INVOICEPRICEVARIANCE_ACCT",58,,,,,,,,,,
58200,"ผลต่างราคาซื้อกับราคามาตรฐาน","Difference between purchase price and standard costs (PPV)","Expense",,"Yes","No","P_PURCHASEPRICEVARIANCE_ACCT",58,,,,,,,,,,
58300,"Purchase price variance Offset","Offset Account for Purchase price variance (PPV) ","Expense",,"Yes","No","PPVOFFSET_ACCT",58,,,,,,,,,,
59,"ส่วนลด",,"Expense",,,"Yes",,5,,,,,59,"CoGS Discounts",2,,,
59100,"ส่วนลดการค้า","Received Trade Discounts (corrects Product expense)","Expense",,"Yes","No","P_TRADEDISCOUNTREC_ACCT",59,,,,,,,,,,
59200,"ส่วนลดเงินสด","Granted early payment discount from vendors","Expense",,"Yes","No","PAYDISCOUNT_REV_ACCT",59,,,,,,,,,,
,,,,,,,,,,,,,"5_","Gross Margin",3,"Gross Profit",,
6,"ค่าใช้จ่าย",,"Expense",,,"Yes",,,,,,,,,,,,
60,"เงินเดือนและค่าแรง",,"Expense",,,"Yes",,6,,,,,60,"Payroll Expense",,,,
60110,"ค่าแรงงาน",,"Expense",,,"No",,60,,,,,,,13,"Salaries and wages",,
60120,"ค่าแรงงาน-เจ้าของ",,"Expense",,,"No",,60,,,,,,,12,"Compensation of officers",,
60130,"เงินเดือน",,"Expense",,,"No",,60,,,,,,,13,,,
60210,"ค่าพักร้อน",,"Expense",,,"No",,60,,,,,,,13,,,
60220,"ค่าพักร้อน-เจ้าของ",,"Expense",,,"No",,60,,,,,,,12,,,
60230,"ค่ารักษาพยาบาล",,"Expense",,,"No",,60,,,,,,,13,,,
60240,"ค่ารักษาพยาบาล-เจ้าของ",,"Expense",,,"No",,60,,,,,,,12,,,
60250,"โบนัส",,"Expense",,,"No",,60,,,,,,,12,,,
60300,"เงินชดเชยการเลิกจ้าง",,"Expense",,,"No",,60,,,,,,,24,"Pension Proft Sharing",,
60430,"ค่าเลิกจ้าง",,"Expense",,,"No",,60,,,,,,,13,,,
60440,"ค่าเลิกจ้าง-เจ้าของ",,"Expense",,,"No",,60,,,,,,,12,,,
60510,"ค่าเบี้ยประกันสุขภาพ",,"Expense",,,"No",,60,,,,,,,13,,,
60520,"ค่าเบี้ยประกันสุขภาพ-เจ้าของ",,"Expense",,,"No",,60,,,,,,,12,,,
60530,"ค่าประกันสังคม",,"Expense",,,"No",,60,,,,,,,,,,
60540,"เงินกองทุนทดแทน",,"Expense",,,"No",,60,,,,,,,,,,
60580,"ค่าช่วยเหลือประกันสุขภาพพนักงาน",,"Expense",,,"No",,60,,,,,,,13,,,
60600,"ค่าประกันการชดเชยลูกจ้าง",,"Expense",,,"No",,60,,,,,,,13,,,
60710,"เบี้ยประกันการไร้ความสามารถ",,"Expense",,,"No",,60,,,,,,,13,,,
60720,"เบี้ยประกันการไร้ความสามารถ-เจ้าของ",,"Expense",,,"No",,60,,,,,,,12,,,
60810,"ค่าเบี้ยประกันชีวิต",,"Expense",,,"No",,60,,,,,,,13,,,
60900,"ค่าสวัสดิการพนักงานอื่น ๆ",,"Expense",,,"No",,60,,,,,,,25,"Employee benefit programs",,
60910,"เงินรางวัลและเบี้ยขยัน",,"Expense",,,"No",,60,,,,,,,25,,,
60920,"ค่าใช้จ่ายในการพาพนักงานไปเที่ยวประจำปี",,"Expense",,,"No",,60,,,,,,,25,,,
60990,"ค่าใช้จ่ายในการจ่ายเงินเดือน",,"Expense",,,"No",,60,,,,,,,13,,,
61,"ค่าสาธารณูปโภค",,"Expense",,,"Yes",,6,,,,,61,"Occupancy Cost",16,"Rents",,
61100,"ค่าเช่า",,"Expense",,,"No",,61,,,,,,,,,,
61200,"ค่าน้ำค่าไฟ  สาธารณูปโภค",,"Expense",,,"No",,61,,,,,,,,,,
61300,"ค่าครองชีพอื่น ๆ",,"Expense",,,"No",,61,,,,,,,,,,
62,"ค่าโฆษณา",,"Expense",,,"Yes",,6,,,,,62,"Advertising & Promotion",23,"Advertising",,
62100,"ค่าโฆษณาสื่อกระจายเสียง",,"Expense",,,"No",,62,,,,,,,,,,
62200,"แคตตาล็อก, หนังสือพิมพ์",,"Expense",,,"No",,62,,,,,,,,,,
62300,"ค่าใช้จ่ายออกงานแสดงสินค้า",,"Expense",,,"No",,62,,,,,,,,,,
62400,"ค่าโฆษณาร่วม",,"Expense",,,"No",,62,,,,,,,,,,
62500,"ค่า Web Host",,"Expense",,,"No",,62,,,,,,,,,,
62800,"ค่าโฆษณาและส่งเสริมการขายอื่น",,"Expense",,,"No",,62,,,,,,,,,,
