[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
79,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- nicht eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
80,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
81,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
82,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
83,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
84,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
85,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
86,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
87,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
88,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
89,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Ausstehende Einlagen auf das Kommandit-Kapital- eingefordert,Asset,,,No,,K0BA12,,,,,,,,,,
K0BA2,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Asset,,,Yes,,K0BA,K0BA2,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,,,,,,,,
K0BA21,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Asset,,,Yes,,K0BA2,,,,,,,,,,
95,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs,Asset,,,No,,K0BA21,,,,,,,,,,
K0BA22,Aufwendungen für die Währungsumstellung auf den Euro,Aufwendungen für die Währungsumstellung auf den Euro,Asset,,,Yes,,K0BA2,,,,,,,,,,
96,Aufwendungen für die Währungsumstellung auf den Euro,Aufwendungen für die Währungsumstellung auf den Euro,Asset,,,No,,K0BA22,,,,,,,,,,
K0BA3,Anlagevermögen Immaterielle Vermögensgegenstände,Anlagevermögen Immaterielle Vermögensgegenstände,Asset,,,Yes,,K0BA,K0BA3,Anlagevermögen Immaterielle Vermögensgegenstände,,,,,,,,
K0BA31,Konzessionen- gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Konzessionen- gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Asset,,,Yes,,K0BA3,,,,,,,,,,
100,Konzessionen- gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Konzessionen- gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten,Asset,,,Yes,,K0BA31,,,,,,,,,,
110,Konzessionen ,Konzessionen ,Asset,,,No,,100,,,,,,,,,,
120,Gewerbliche Schutzrechte,Gewerbliche Schutzrechte,Asset,,,No,,100,,,,,,,,,,
130,ähnliche Rechte und Werte ,ähnliche Rechte und Werte ,Asset,,,No,,100,,,,,,,,,,
135,EDV-Software,EDV-Software,Asset,,,No,,100,,,,,,,,,,
140,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten ,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten ,Asset,,,No,,100,,,,,,,,,,
K0BA32,Geschäfts- oder Firmenwert,Geschäfts- oder Firmenwert,Asset,,,Yes,,K0BA3,,,,,,,,,,
150,Geschäfts- oder Firmenwert,Geschäfts- oder Firmenwert,Asset,,,No,,K0BA32,,,,,,,,,,
K0BA33,Verschmelzungsmehrwert,Verschmelzungsmehrwert,Asset,,,Yes,,K0BA3,,,,,,,,,,
160,Verschmelzungsmehrwert,Verschmelzungsmehrwert,Asset,,,No,,K0BA33,,,,,,,,,,
K0BA34,Geleistete Anzahlungen,Geleistete Anzahlungen,Asset,,,Yes,,K0BA3,,,,,,,,,,
170,Geleistete Anzahlungen auf immaterielle Vermögensgegenstände,Geleistete Anzahlungen auf immaterielle Vermögensgegenstände,Asset,,,No,,K0BA34,,,,,,,,,,
179,Anzahlungen auf Geschäfts- oder Firmenwert,Anzahlungen auf Geschäfts- oder Firmenwert,Asset,,,No,,K0BA34,,,,,,,,,,
K0BA4,Sachanlagen,Sachanlagen,Asset,,,Yes,,K0BA,K0BA4,Sachanlagen,,,,,,,,
K0BA41,Grundstücke- grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Grundstücke- grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Asset,,,Yes,,K0BA4,,,,,,,,,,
200,Grundstücke- grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Grundstücke- grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken,Asset,,,Yes,,K0BA41,,,,,,,,,,
210,Grundstücke und grundstücksgleiche Rechte ohne Bauten,Grundstücke und grundstücksgleiche Rechte ohne Bauten,Asset,,,No,,200,,,,,,,,,,
215,Unbebaute Grundstücke,Unbebaute Grundstücke,Asset,,,No,,200,,,,,,,,,,
220,Grundstücksgleiche Rechte (Erbbaurecht- Dauerwohnrecht),Grundstücksgleiche Rechte (Erbbaurecht- Dauerwohnrecht),Asset,,,No,,200,,,,,,,,,,
225,Grundstücke mit Substanzverzehr,Grundstücke mit Substanzverzehr,Asset,,,No,,200,,,,,,,,,,
229,Grundstücksanteil des häuslichen Arbeitszimmers,Grundstücksanteil des häuslichen Arbeitszimmers,Asset,,,No,,200,,,,,,,,,,
230,Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Asset,,,No,,200,,,,,,,,,,
235,Grundstückswerte eigener bebauter Grundstücke,Grundstückswerte eigener bebauter Grundstücke,Asset,,,No,,200,,,,,,,,,,
240,Geschäftsbauten,Geschäftsbauten,Asset,,,No,,200,,,,,,,,,,
250,Fabrikbauten,Fabrikbauten,Asset,,,No,,200,,,,,,,,,,
260,Andere Bauten,Andere Bauten,Asset,,,No,,200,,,,,,,,,,
270,Garagen,Garagen,Asset,,,No,,200,,,,,,,,,,
280,Außenanlagen für Geschäfts-- Fabrik- und andere Bauten ,Außenanlagen für Geschäfts-- Fabrik- und andere Bauten ,Asset,,,No,,200,,,,,,,,,,
285,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,Asset,,,No,,200,,,,,,,,,,
290,Einrichtungen für Geschäfts--Fabrik und andere Bauten,Einrichtungen für Geschäfts--Fabrik und andere Bauten,Asset,,,No,,200,,,,,,,,,,
300,Wohnbauten,Wohnbauten,Asset,,,No,,200,,,,,,,,,,
305,Garagen,Garagen,Asset,,,No,,200,,,,,,,,,,
310,Außenanlagen ,Außenanlagen ,Asset,,,No,,200,,,,,,,,,,
315,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,Asset,,,No,,200,,,,,,,,,,
320,Einrichtungen für Wohnbauten,Einrichtungen für Wohnbauten,Asset,,,No,,200,,,,,,,,,,
329,Gebäudeteile des häuslischen Arbeitszimmers,Gebäudeteile des häuslischen Arbeitszimmers,Asset,,,No,,200,,,,,,,,,,
330,Bauten auf fremden Grundstücken,Bauten auf fremden Grundstücken,Asset,,,No,,200,,,,,,,,,,
340,Geschäftsbauten,Geschäftsbauten,Asset,,,No,,200,,,,,,,,,,
350,Fabrikbauten,Fabrikbauten,Asset,,,No,,200,,,,,,,,,,
360,Wohnbauten,Wohnbauten,Asset,,,No,,200,,,,,,,,,,
370,Andere Bauten,Andere Bauten,Asset,,,No,,200,,,,,,,,,,
380,Garagen,Garagen,Asset,,,No,,200,,,,,,,,,,
390,Außenanlagen,Außenanlagen,Asset,,,No,,200,,,,,,,,,,
395,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,Asset,,,No,,200,,,,,,,,,,
398,Einrichtungen für Geschäfts--Fabrik und andere Bauten,Einrichtungen für Geschäfts--Fabrik und andere Bauten,Asset,,,No,,200,,,,,,,,,,
K0BA42,Technische Anlagen und Maschinen,Technische Anlagen und Maschinen,Asset,,,Yes,,K0BA4,,,,,,,,,,
400,Technische Anlagen und Maschinen,Technische Anlagen und Maschinen,Asset,,,Yes,,K0BA42,,,,,,,,,,
420,Technische Anlagen ,Technische Anlagen ,Asset,,,No,,400,,,,,,,,,,
440,Maschinen,Maschinen,Asset,,,No,,400,,,,,,,,,,
460,Maschinen gebundene Werkzeuge,Maschinen gebundene Werkzeuge,Asset,,,No,,400,,,,,,,,,,
470,Betriebsvorrichtungen,Betriebsvorrichtungen,Asset,,,No,,400,,,,,,,,,,
K0BA43,Andere Anlagen- Betriebs- und Geschäftsaustattung,Andere Anlagen- Betriebs- und Geschäftsaustattung,Asset,,,Yes,,K0BA4,,,,,,,,,,
500,Andere Anlagen- Betriebs- und Geschäftsaustattung,Andere Anlagen- Betriebs- und Geschäftsaustattung,Asset,,,Yes,,K0BA43,,,,,,,,,,
510,Andere Anlagen ,Andere Anlagen ,Asset,,,No,,500,,,,,,,,,,
520,Pkw,Pkw,Asset,,,No,,500,,,,,,,,,,
540,Lkw,Lkw,Asset,,,No,,500,,,,,,,,,,
560,Sonstige Transportmittel,Sonstige Transportmittel,Asset,,,No,,500,,,,,,,,,,
620,Werkzeuge,Werkzeuge,Asset,,,No,,500,,,,,,,,,,
640,Ladeneinrichtungen,Ladeneinrichtungen,Asset,,,No,,500,,,,,,,,,,
650,Büroeinrichtungen,Büroeinrichtungen,Asset,,,No,,500,,,,,,,,,,
660,Gerüst- und Schalungsmaterial,Gerüst- und Schalungsmaterial,Asset,,,No,,500,,,,,,,,,,
670,Geringwertige Wirtschaftsgüter bis 410 Euro,Geringwertige Wirtschaftsgüter bis 410 Euro,Asset,,,No,,500,,,,,,,,,,
680,Einbauten in fremde Grundstücke,Einbauten in fremde Grundstücke,Asset,,,No,,500,,,,,,,,,,
690,Sonstige Betriebs- und Geschäftsausstattung,Sonstige Betriebs- und Geschäftsausstattung,Asset,,,No,,500,,,,,,,,,,
K0BA44,Geleistete Anzahlungen und Anlagen im Bau,Geleistete Anzahlungen und Anlagen im Bau,Asset,,,Yes,,K0BA4,,,,,,,,,,
700,Geleistete Anzahlungen und Anlagen im Bau,Geleistete Anzahlungen und Anlagen im Bau,Asset,,,Yes,,K0BA44,,,,,,,,,,
705,Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten,Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten,Asset,,,No,,700,,,,,,,,,,
710,Geschäfts-- Fabrik- und andere Bauten im Bau auf eingenen Grundstücken,Geschäfts-- Fabrik- und andere Bauten im Bau auf eingenen Grundstücken,Asset,,,No,,700,,,,,,,,,,
720,Anzahlungen auf Geschäfts- Fabrik-und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten ,Anzahlungen auf Geschäfts- Fabrik-und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten ,Asset,,,No,,700,,,,,,,,,,
725,Wohnbauten im Bau,Wohnbauten im Bau,Asset,,,No,,700,,,,,,,,,,
735,Anzahlungen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Anzahlungen auf Wohnbauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Asset,,,No,,700,,,,,,,,,,
740,Geschäfts-- Fabrik- und andere Bauten im Bau auf fremden Grundstücken,Geschäfts-- Fabrik- und andere Bauten im Bau auf fremden Grundstücken,Asset,,,No,,700,,,,,,,,,,
750,Anzahlungen auf Geschäfts-- Fabrik- und andere Bauten auf fremden Grundstücken,Anzahlungen auf Geschäfts-- Fabrik- und andere Bauten auf fremden Grundstücken,Asset,,,No,,700,,,,,,,,,,
755,Wohnbauten im Bau,Wohnbauten im Bau,Asset,,,No,,700,,,,,,,,,,
765,Anzahlungen auf Wohnbauten auf fremden Grundstücken ,Anzahlungen auf Wohnbauten auf fremden Grundstücken ,Asset,,,No,,700,,,,,,,,,,
770,Technische Anlagen und Maschinen im Bau ,Technische Anlagen und Maschinen im Bau ,Asset,,,No,,700,,,,,,,,,,
780,Anzahlungen auf technische Anlagen und Maschinen,Anzahlungen auf technische Anlagen und Maschinen,Asset,,,No,,700,,,,,,,,,,
785,Andere Anlagen- Betriebs- und Geschäftsaustattung im Bau,Andere Anlagen- Betriebs- und Geschäftsaustattung im Bau,Asset,,,No,,700,,,,,,,,,,
795,Anzahlungen auf andere Anlagen- Betriebs und Geschäftsausstattung,Anzahlungen auf andere Anlagen- Betriebs und Geschäftsausstattung,Asset,,,No,,700,,,,,,,,,,
K0BA5,Finanzanlagen,Finanzanlagen,Asset,,,Yes,,K0BA,K0BA5,Finanzanlagen,,,,,,,,
K0BA51,Anteile an verbundenen Unternehmen,Anteile an verbundenen Unternehmen,Asset,,,Yes,,K0BA5,,,,,,,,,,
800,Anteile an verbundenen Unternehmen,Anteile an verbundenen Unternehmen,Asset,,,No,,K0BA51,,,,,,,,,,
809,Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,Asset,,,No,,K0BA51,,,,,,,,,,
K0BA52,Ausleihungen an verbundene Unternehmen,Ausleihungen an verbundene Unternehmen,Asset,,,Yes,,K0BA5,,,,,,,,,,
810,Ausleihungen an verbundene Unternehmen,Ausleihungen an verbundene Unternehmen,Asset,,,No,,K0BA52,,,,,,,,,,
K0BA53,Beteiligungen,Beteiligungen,Asset,,,Yes,,K0BA5,,,,,,,,,,
820,Beteiligungen,Beteiligungen,Asset,,,Yes,,K0BA53,,,,,,,,,,
829,Beteiligungen einer GmbH & Co. KG an einer Komplementär GmbH,Beteiligungen einer GmbH & Co. KG an einer Komplementär GmbH,Asset,,,No,,820,,,,,,,,,,
830,Typisch stille Beteiligungen,Typisch stille Beteiligungen,Asset,,,No,,820,,,,,,,,,,
840,Atypisch stille Beteiligungen,Atypisch stille Beteiligungen,Asset,,,No,,820,,,,,,,,,,
850,Andere Beteiligungen an Kapitalgesellschaften,Andere Beteiligungen an Kapitalgesellschaften,Asset,,,No,,820,,,,,,,,,,
860,Andere Beteilgungen an Personengesellschaften,Andere Beteilgungen an Personengesellschaften,Asset,,,No,,820,,,,,,,,,,
K0BA54,Ausleihungen an Unternehmen- mit denen ein Beteiligungsverhältnis besteht,Ausleihungen an Unternehmen- mit denen ein Beteiligungsverhältnis besteht,Asset,,,Yes,,K0BA5,,,,,,,,,,
880,Ausleihungen an Unternehmen- mit denen ein Beteiligungsverhältnis besteht,Ausleihungen an Unternehmen- mit denen ein Beteiligungsverhältnis besteht,Asset,,,No,,K0BA54,,,,,,,,,,
K0BA55,Wertpapiere des Anlagevermögens,Wertpapiere des Anlagevermögens,Asset,,,Yes,,K0BA5,,,,,,,,,,
900,Wertpapiere des Anlagevermögens,Wertpapiere des Anlagevermögens,Asset,,,Yes,,K0BA55,,,,,,,,,,
910,Wertpapiere mit Gewinnbeteiligungsansprüchen- die dem Halbeinkünfteverfahren unterliegen,Wertpapiere mit Gewinnbeteiligungsansprüchen- die dem Halbeinkünfteverfahren unterliegen,Asset,,,No,,900,,,,,,,,,,
920,Festverzinsliche Wertpapiere,Festverzinsliche Wertpapiere,Asset,,,No,,900,,,,,,,,,,
K0BA56,Sonstige Ausleihungen,Sonstige Ausleihungen,Asset,,,Yes,,K0BA5,,,,,,,,,,
930,Sonstige Ausleihungen,Sonstige Ausleihungen,Asset,,,Yes,,K0BA56,,,,,,,,,,
940,Darlehen,Darlehen,Asset,,,No,,930,,,,,,,,,,
960,Ausleihungen an Gesellschafter,Ausleihungen an Gesellschafter,Asset,,,No,,930,,,,,,,,,,
970,Ausleihungen an nahe stehende Personen,Ausleihungen an nahe stehende Personen,Asset,,,No,,930,,,,,,,,,,
K0BA57,Genossenschaftsanteile,Genossenschaftsanteile,Asset,,,Yes,,K0BA5,,,,,,,,,,
980,Genossenschaftsanteile zum langfristigen Verbleib,Genossenschaftsanteile zum langfristigen Verbleib,Asset,,,No,,K0BA57,,,,,,,,,,
K0BA58,Rückdeckungsansprüche aus Lebensversicherungen,Rückdeckungsansprüche aus Lebensversicherungen,Asset,,,Yes,,K0BA5,,,,,,,,,,
990,Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib,Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib,Asset,,,No,,K0BA58,,,,,,,,,,
K1BA1,Vorräte,Vorräte,Asset,,,Yes,,K1BA,K1BA1,Vorräte,,,,,,,,
K1BA11,Roh-- Hilfs- und Betriebsstoffe,Roh-- Hilfs- und Betriebsstoffe,Asset,,,Yes,,K1BA1,,,,,,,,,,
1000,Roh-- Hilfs- und Betriebsstoffe (Bestand),Product Inventory Account,Asset,,Yes,No,P_ASSET_ACCT,K1BA11,,,,,,,,,,
1001,Roh-- Hilfs- und Betriebsstoffe (Bestand),Roh-- Hilfs- und Betriebsstoffe (Bestand),Asset,,,No,,K1BA11,,,,,,,,,,
1002,Roh-- Hilfs- und Betriebsstoffe (Bestand),Roh-- Hilfs- und Betriebsstoffe (Bestand),Asset,,,No,,K1BA11,,,,,,,,,,
1003,Roh-- Hilfs- und Betriebsstoffe (Bestand),Roh-- Hilfs- und Betriebsstoffe (Bestand),Asset,,,No,,K1BA11,,,,,,,,,,
1004,Roh-- Hilfs- und Betriebsstoffe (Bestand),Roh-- Hilfs- und Betriebsstoffe (Bestand),Asset,,,No,,K1BA11,,,,,,,,,,
1005,Roh-- Hilfs- und Betriebsstoffe (Bestand),Roh-- Hilfs- und Betriebsstoffe (Bestand),Asset,,,No,,K1BA11,,,,,,,,,,
1006,Roh-- Hilfs- und Betriebsstoffe (Bestand),Roh-- Hilfs- und Betriebsstoffe (Bestand),Asset,,,No,,K1BA11,,,,,,,,,,
