[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
31,Vevők,KÖVETELÉSEK ÁRUSZÁLLÍTÁSBÓL ÉS SZOLGÁLTATÁSBÓL (VEVÕK),,,,Yes,,3,,,,,,,,,,
311,Belföldi követelések (forintban),,,,,,,31,,,,,,,,,,
312,Belföldi követelések (devizában),,,,,,,31,,,,,,,,,,
315,Belföldi követelések értékvesztése és annak visszaírása,,,,,,,31,,,,,,,,,,
316,Külföldi követelések (forintban),,,,,,,31,,,,,,,,,,
317,Külföldi követelések (devizában),,,,,,,31,,,,,,,,,,
319,Külföldi követelések értékvesztése és annak visszaírása,,,,,,,31,,,,,,,,,,
32,Kapcsolt vállalkozások,KÖVETELÉSEK KAPCSOLT VÁLLALKOZÁSSAL SZEMBEN,,,,Yes,,3,,,,,,,,,,
321,Követelések az anyavállalattal szemben,,,,,,,32,,,,,,,,,,
33,KÖVETELÉSEK EGYÉB RÉSZESEDÉSI VISZONYBAN LÉVÕ VÁLLALKOZÁSSAL SZEMBEN,,,,,Yes,,3,,,,,,,,,,
34,VÁLTÓKÖVETELÉSEK,,,,,Yes,,3,,,,,,,,,,
35,ADOTT ELÕLEGEK,,,,,Yes,,3,,,,,,,,,,
351,Immateriális javakra adott elõlegek,,,,,,,35,,,,,,,,,,
352,Beruházásokra adott elõlegek,,,,,,,35,,,,,,,,,,
353,Készletekre adott elõlegek,,,,,,,35,,,,,,,,,,
358,"Jegyzett, de még be nem fizetett tõke részesedési viszonyban nem lévõ vállalkozástól",,,,,,,35,,,,,,,,,,
359,Adott elõlegek értékvesztése és visszaírása,,,,,,,35,,,,,,,,,,
36,EGYÉB KÖVETELÉSEK,,,,,Yes,,3,,,,,,,,,,
361,Munkavállalókkal szembeni követelések,,,,,Yes,,36,,,,,,,,,,
3611,Munkavállalóknak folyósított elõlegek,,,,,,,361,,,,,,,,,,
3612,Elõírt tartozások,,,,,,,361,,,,,,,,,,
3613,Egyéb elszámolások a munkavállalókkal,,,,,,,361,,,,,,,,,,
362,Költségvetési kiutalási igények,,,,,Yes,,36,,,,,,,,,,
363,Költségvetési kiutalási igények teljesítése,,,,,Yes,,36,,,,,,,,,,
364,Rövid lejáratú kölcsönadott pénzeszközök,,,,,Yes,,36,,,,,,,,,,
3641,Rövid lejáratú kölcsönök,,,,,,,364,,,,,,,,,,
3642,Tartósan adott kölcsönökbõl átsorolt követelések,,,,,,,364,,,,,,,,,,
365,Vásárolt és kapott követelések,,,,,Yes,,36,,,,,,,,,,
3651,Vásárolt belföldi követelések,,,,,,,365,,,,,,,,,,
3652,Vásárolt külföldi követelések,,,,,,,365,,,,,,,,,,
3653,"Követelés fejében, csere útján átvett követelések",,,,,,,365,,,,,,,,,,
3654,Nem pénzbeli hozzájárulásként kapott (átvett) követelések,,,,,,,365,,,,,,,,,,
3655,Térítés nélkül átvett követelések,,,,,,,365,,,,,,,,,,
366,"Részesedésekkel, értékpapírokkal kapcsolatos követelések",,,,,,,36,,,,,,,,,,
367,"Határidõs, opciós és swap ügyletekkel kapcsolatos követelések",,,,,,,36,,,,,,,,,,
368,Egyéb követelések,,,,,Yes,,36,,,,,,,,,,
3681,Bizományosi ügylettel kapcsolatos elszámolások,,,,,,,368,,,,,,,,,,
3682,Értékpapír-elszámolási számla,,,,,,,368,,,,,,,,,,
3683,Import beszerzések áfája,,,,,,,368,,,,,,,,,,
3684,Adósok,,,,,,,368,,,,,,,,,,
3685,Biztosítóintézettel szembeni követelések,,,,,,,368,,,,,,,,,,
3686,Barter ügylet elszámolási számla,,,,,,,368,,,,,,,,,,
3687,Árfolyamkülönbözetek elszámolási számla,,,,,,,368,,,,,,,,,,
3689,Ki nem emelt egyéb követelések,,,,,,,368,,,,,,,,,,
369,Egyéb követelések értékvesztése és annak visszaírása,,,,,,,36,,,,,,,,,,
37,Értékpapírok,,,,,Yes,,3,,,,,,,,,,
38,PÉNZESZKÖZÖK,,,,,Yes,,3,,,,,,,,,,
381,Pénztár,,,,,Yes,,38,,,,,,,,,,
3811,Pénztár számla,,,,,,,381,,,,,,,,,,
3812,Elektronikus pénzeszközök,,,,,,,381,,,,,,,,,,
3813,Házipénztár,,,,,,,381,,,,,,,,,,
382,Valutapénztár,,,,,Yes,,38,,,,,,,,,,
3821,Valutapénztár számla,,,,,,,382,,,,,,,,,,
3829,Valuta árfolyamkülönbözeti számla,,,,,,,382,,,,,,,,,,
383,Csekkek,,,,,,,38,,,,,,,,,,
384,Elszámolási betétszámla,,,,,,,38,,,,,,,,,,
385,Elkülönített betétszámlák,,,,,Yes,,38,,,,,,,,,,
3851,Kamatozó betétszámlák,,,,,,,385,,,,,,,,,,
3853,Beruházásra elkülönített pénzeszközök,,,,,,,385,,,,,,,,,,
3854,Fejlesztési célra elkülönített pénzeszközök,,,,,,,385,,,,,,,,,,
3855,Egyéb célra elkülönített pénzeszközök,,,,,,,385,,,,,,,,,,
386,Devizabetét-számla,,,,,Yes,,38,,,,,,,,,,
3861,Devizabetét-számla,,,,,,,386,,,,,,,,,,
389,Átvezetési számla,,,,,,,38,,,,,,,,,,
39,AKTÍV IDÕBELI ELHATÁROLÁSOK,,,,,Yes,,3,,,,,,,,,,
391,Bevételek aktív idõbeli elhatárolása,,,,,Yes,,39,,,,,,,,,,
3913,"Árbevétel, egyéb kamatbevétel, egyéb bevétel elhatárolása",,,,,,,391,,,,,,,,,,
392,"Költségek, ráfordítások aktív idõbeli elhatárolása",,,,,Yes,,39,,,,,,,,,,
3921,"Értékpapírok, részesedések beszerzéséhez kapcsolódó bizományi díj, vásárolt vételi opció díjának elhatárolása",,,,,,,392,,,,,,,,,,
3922,Többletkötelezettségek elhatárolása,,,,,,,392,,,,,,,,,,
3923,"Költségek, egyéb fizetett kamatok, egyéb ráfordítások elhatárolása",,,,,,,392,,,,,,,,,,
393,Halasztott ráfordítások,,,,,Yes,,39,,,,,,,,,,
3931,Tartozásátvállalások miatti ráfordítások elhatárolása,,,,,,,393,,,,,,,,,,
3932,Devizakötelezettségek árfolyamveszteségének elhatárolása,,,,,,,393,,,,,,,,,,
3939,Halasztott ráfordítások,,,,,,,393,,,,,,,,,,
399,A követelés-jellegû aktív idõbeli elhatárolások értékvesztése és annak visszaírása,,,,,,,39,,,,,,,,,,
4,Források,,,,,Yes,,,,,,,,,,,,
41,Saját tőke,,,,,Yes,,4,,,,,,,,,,
411,Jegyzet tõke,,,,,,,41,,,,,,,,,,
412,Tőke tartalék,,,,,,,41,,,,,,,,,,
413,Eredménytartalék,,,,,,,41,,,,,,,,,,
414,Lekötött tartalék,,,,,Yes,,41,,,,,,,,,,
4141,Lekötött tartalék tõketartalékból,,,,,,,414,,,,,,,,,,
4142,Lekötött tartalék eredménytartalékból,,,,,,,414,,,,,,,,,,
4143,Lekötött tartalék pótbefizetésbõl,,,,,,,414,,,,,,,,,,
417,Értékelési tartalék,,,,,,,41,,,,,,,,,,
418,Elõzõ évek helyesbítésébõl származó mérleg szerinti eredmény,,,,,,,41,,,,,,,,,,
419,Mérleg szerinti eredmény,,,,,,,41,,,,,,,,,,
42,CÉLTARTALÉKOK,,,,,Yes,,4,,,,,,,,,,
421,Céltartalék a várható kötelezettségekre,,,,,,,42,,,,,,,,,,
422,Céltartalék a jövõbeni költségekre,,,,,,,42,,,,,,,,,,
424,Árfolyamveszteség idõbeli elhatárolása alapján képzett céltartalék,,,,,,,42,,,,,,,,,,
429,Egyéb céltartalék,,,,,,,42,,,,,,,,,,
43,HÁTRASOROLT KÖTELEZETTSÉGEK,,,,,Yes,,4,,,,,,,,,,
431,Hátrasorolt kötelezettségek kapcsolt vállalkozással szemben,,,,,Yes,,43,,,,,,,,,,
4311,Hátrasorolt kötelezettségek anyavállalattal szemben,,,,,,,431,,,,,,,,,,
4312,Hátrasorolt kötelezettségek leányvállalattal szemben,,,,,,,431,,,,,,,,,,
432,Hátrasorolt kötelezettségek egyéb részesedési viszonyban lévõ vállalkozással szemben,,,,,,,43,,,,,,,,,,
433,Hátrasorolt kötelezettségek egyéb gazdálkodóval szemben,,,,,,,43,,,,,,,,,,
44,HOSSZÚ LEJÁRATÚ KÖTELEZETTSÉGEK,,,,,Yes,,4,,,,,,,,,,
441,Hosszú lejáratra kapott kölcsönök,,,,,,,44,,,,,,,,,,
442,Átváltoztatható kötvények,,,,,,,44,,,,,,,,,,
443,Tartozások kötvénykibocsátásból,,,,,,,44,,,,,,,,,,
444,Beruházási és fejlesztési hitelek,,,,,Yes,,44,,,,,,,,,,
4441,Beruházási és fejlesztési hitelek forintban,,,,,,,444,,,,,,,,,,
4442,Beruházási és fejlesztési hitelek devizában,,,,,,,444,,,,,,,,,,
445,Egyéb hosszú lejáratú hitelek,,,,,Yes,,44,,,,,,,,,,
4451,Egyéb hosszú lejáratú hitelek forintban,,,,,,,445,,,,,,,,,,
4452,Egyéb hosszú lejáratú hitelek devizában,,,,,,,445,,,,,,,,,,
446,Tartós kötelezettségek kapcsolt vállalkozással szemben,,,,,,,44,,,,,,,,,,
447,Tartós kötelezettségek egyéb részesedési viszonyban lévõ vállalkozással szemben,,,,,,,44,,,,,,,,,,
448,Pénzügyi lízing miatti kötelezettségek,,,,,,,44,,,,,,,,,,
449,Egyéb hosszú lejáratú kötelezettségek,,,,,Yes,,44,,,,,,,,,,
4491,Kincstári vagyon részét képezõ eszközök kezelésbe vételéhez kapcsolódó kötelezettség,,,,,,,449,,,,,,,,,,
4492,Alapítókkal szembeni hosszú lejáratú kötelezettségek,,,,,,,449,,,,,,,,,,
4499,Hosszú lejáratú egyéb kötelezettségek,,,,,,,449,,,,,,,,,,
45,RÖVID LEJÁRATÚ KÖTELEZETTSÉGEK 1,,,,,Yes,,4,,,,,,,,,,
451,Rövid lejáratú kölcsönök,,,,,Yes,,45,,,,,,,,,,
4511,Rövid lejáratú átváltoztatható kötvények,,,,,,,451,,,,,,,,,,
4512,Egyéb rövid lejáratú kölcsönök,,,,,,,451,,,,,,,,,,
452,Rövid lejáratú hitelek,,,,,Yes,,45,,,,,,,,,,
4521,Rövid lejáratú hitelek forintban,,,,,,,452,,,,,,,,,,
4522,Rövid lejáratú hitelek devizában,,,,,,,452,,,,,,,,,,
453,Vevõktõl kapott elõlegek,,,,,,,45,,,,,,,,,,
454,Szállítók,,,,,Yes,,45,,,,,,,,,,
4541,Belföldi anyag- és áruszállítók,,,,,,,454,,,,,,,,,,
4542,Külföldi anyag- és áruszállítók,,,,,,,454,,,,,,,,,,
4543,Belföldi szolgáltatók,,,,,,,454,,,,,,,,,,
4544,Külföldi szolgáltatók,,,,,,,454,,,,,,,,,,
4549,"Nem számlázott szállítások, szolgáltatások",,,,,,,454,,,,,,,,,,
455,Beruházási szállítók,,,,,Yes,,45,,,,,,,,,,
4551,Belföldi beruházási szállítók,,,,,,,455,,,,,,,,,,
4552,Külföldi beruházási szállítók,,,,,,,455,,,,,,,,,,
4559,Nem számlázott beruházási szállítók,,,,,,,455,,,,,,,,,,
456,Faktoring tartozások,,,,,,,45,,,,,,,,,,
457,Váltótartozások,,,,,,,45,,,,,,,,,,
458,Rövid lejáratú kötelezettségek kapcsolt vállalkozással szemben,,,,,Yes,,45,,,,,,,,,,
4581,Rövid lejáratú kötelezettségek anyavállalattal szemben,,,,,,,458,,,,,,,,,,
4582,Rövid lejáratú kötelezettségek leányvállalattal szemben,,,,,,,458,,,,,,,,,,
4583,Rövid lejáratú kötelezettségek közös vezetésû vállalkozással szemben,,,,,,,458,,,,,,,,,,
4584,Rövid lejáratú kötelezettségek társult vállalkozással szemben,,,,,,,458,,,,,,,,,,
459,Rövid lejáratú kötelezettségek egyéb részesedési viszonyban lévõ vállalkozással szemben,,,,,,,45,,,,,,,,,,
46,RÖVID LEJÁRATÚ KÖTELEZETTSÉGEK 2,,,,,Yes,,4,,,,,,,,,,
461,Társasági adó elszámolása,,,,,,,46,,,,,,,,,,
462,Személyi jövedelemadó elszámolása,,,,,,,46,,,,,,,,,,
463,Költségvetési befizetési kötelezettségek,,,,,Yes,,46,,,,,,,,,,
4631,Külkereskedelmi áruforgalommal és különleges természeti tényezõkkel kapcsolatos árkülönbözet,,,,,,,463,,,,,,,,,,
46310,Jövedéki adó,,,,,,,463,,,,,,,,,,
46311,Játékadó,,,,,,,463,,,,,,,,,,
46312,Munkaadói járulék,,,,,,,463,,,,,,,,,,
46313,Munkavállalói járulék,,,,,,,463,,,,,,,,,,
46314,Nyugdíjbiztosítási járulék,,,,,,,463,,,,,,,,,,
46315,Egészségbiztosítási járulék,,,,,,,463,,,,,,,,,,
46316,Önellenõrzési pótlék,,,,,,,463,,,,,,,,,,
46317,"Mulasztási bírság, adóbírság",,,,,,,463,,,,,,,,,,
46318,Késedelmi pótlék,,,,,,,463,,,,,,,,,,
46319,Egyéb költségvetési befizetési kötelezettségek,,,,,,,463,,,,,,,,,,
4632,"Különleges helyzetbõl, természeti, termelési, kereskedelmi körülményekbõl származó jövedelem utáni befizetési kötelezettség",,,,,,,463,,,,,,,,,,
4634,Egészségügyi hozzájárulás,,,,,,,463,,,,,,,,,,
4635,Nemzeti kulturális járulék,,,,,,,463,,,,,,,,,,
4636,Turisztikai hozzájárulás,,,,,,,463,,,,,,,,,,
4637,Fogyasztási adó,,,,,,,463,,,,,,,,,,
4638,Rehabilitációs foglalkoztatási hozzájárulás,,,,,,,463,,,,,,,,,,
4639,Szakképzési hozzájárulás,,,,,,,463,,,,,,,,,,
464,Költségvetési befizetési kötelezettségek teljesítése,,,,,Yes,,46,,,,,,,,,,
4641,Külkereskedelmi áruforgalommal és különleges természeti tényezõkkel kapcsolatos árkülönbözet  teljesítése,,,,,,,464,,,,,,,,,,
46410,Jövedéki adó teljesítése,,,,,,,464,,,,,,,,,,
46411,Játékadó teljesítése,,,,,,,464,,,,,,,,,,
46412,Munkaadói járulék teljesítése,,,,,,,464,,,,,,,,,,
46413,Munkavállalói járulék teljesítése,,,,,,,464,,,,,,,,,,
46414,Nyugdíjbiztosítási járulék teljesítése,,,,,,,464,,,,,,,,,,
46415,Egészségbiztosítási járulék teljesítése,,,,,,,464,,,,,,,,,,
46416,Önellenõrzési pótlék teljesítése,,,,,,,464,,,,,,,,,,
46417,"Mulasztási bírság, adóbírság teljesítése",,,,,,,464,,,,,,,,,,
46418,Késedelmi pótlék teljesítése,,,,,,,464,,,,,,,,,,
46419,Egyéb költségvetési befizetési kötelezettségek teljesítése,,,,,,,464,,,,,,,,,,
4642,"Különleges helyzetbõl, természeti, termelési, kereskedelmi körülményekbõl származó jövedelem utáni befizetési kötelezettség teljesítése",,,,,,,464,,,,,,,,,,
4644,Egészségügyi hozzájárulás teljesítése,,,,,,,464,,,,,,,,,,
4645,Nemzeti kulturális járulék teljesítése,,,,,,,464,,,,,,,,,,
4646,Turisztikai hozzájárulás teljesítése,,,,,,,464,,,,,,,,,,
4647,Fogyasztási adó teljesítése,,,,,,,464,,,,,,,,,,
4648,Rehabilitációs foglalkoztatási hozzájárulás teljesítése,,,,,,,464,,,,,,,,,,
4649,Szakképzési hozzájárulás teljesítése,,,,,,,464,,,,,,,,,,
465,Vám- és pénzügyõrség elszámolási számla,,,,,Yes,,46,,,,,,,,,,
4651,Vámköltségek és egyéb vámterhek elszámolási számla,,,,,,,465,,,,,,,,,,
4652,Importbeszerzés után fizetendõ általános forgalmi adó elszámolási számla,,,,,,,465,,,,,,,,,,
4653,Vám- és pénzügyõrséggel kapcsolatos egyéb elszámolások,,,,,,,465,,,,,,,,,,
466,Elõzetesen felszámított általános forgalmi adó,,,,,Yes,,46,,,,,,,,,,
4661,Beszerzések elõzetesen felszámított általános forgalmi adója,,,,,,,466,,,,,,,,,,
4662,Arányosítással megosztandó elõzetesen felszámított általános forgalmi adó,,,,,,,466,,,,,,,,,,
467,Fizetendõ általános forgalmi adó,,,,,,,46,,,,,,,,,,
468,Általános forgalmi adó elszámolási számla,,,,,,,46,,,,,,,,,,
469,Helyi adók elszámolási számla,,,,,Yes,,46,,,,,,,,,,
4691,Építményadó elszámolási számla,,,,,,,469,,,,,,,,,,
4692,Telekadó elszámolási számla,,,,,,,469,,,,,,,,,,
4693,Kommunális adó elszámolási számla,,,,,,,469,,,,,,,,,,
4694,Idegenforgalmi adó elszámolási számla,,,,,,,469,,,,,,,,,,
4695,Helyi iparûzési adó elszámolási számla,,,,,,,469,,,,,,,,,,
4696,Gépjármûadó elszámolási számla,,,,,,,469,,,,,,,,,,
4697,Külföldi gépjármûadó elszámolási számla,,,,,,,469,,,,,,,,,,
4699,Egyéb helyi adó elszámolási számla,,,,,,,469,,,,,,,,,,
47,RÖVID LEJÁRATÚ KÖTELEZETTSÉGEK 3,,,,,Yes,,4,,,,,,,,,,
471,Jövedelemelszámolási számla,,,,,Yes,,47,,,,,,,,,,
4711,Keresetelszámolási számla,,,,,,,471,,,,,,,,,,
4712,Társadalombiztosítási ellátás,,,,,,,471,,,,,,,,,,
4713,Egyéb kifizetések elszámolása,,,,,,,471,,,,,,,,,,
472,Fel nem vett járandóságok,,,,,,,47,,,,,,,,,,
473,Társadalombiztosítási kötelezettség,,,,,,,47,,,,,,,,,,
474,Elkülönített alapokkal kapcsolatos fizetési kötelezettségek,,,,,Yes,,47,,,,,,,,,,
4741,Központi mûszaki fejlesztési hozzájárulás,,,,,,,474,,,,,,,,,,
4742,Elszámolásra kapott pénzeszközök,,,,,,,474,,,,,,,,,,
4743,Környezetvédelmi termékdíjfizetési kötelezettség,,,,,,,474,,,,,,,,,,
4749,Egyéb befizetések az elkülönített alapokba,,,,,,,474,,,,,,,,,,
475,Vagyonkezelõ szervezetekkel szembeni kötelezettségek,,,,,,,47,,,,,,,,,,
476,Rövid lejáratú egyéb kötelezettségek munkavállalókkal és tagokkal szemben,,,,,Yes,,47,,,,,,,,,,
4761,Kártérítés,,,,,,,476,,,,,,,,,,
4762,Bírói letiltás,,,,,,,476,,,,,,,,,,
4763,Banki elszámolás,,,,,,,476,,,,,,,,,,
4764,Levont szakszervezeti díj,,,,,,,476,,,,,,,,,,
4765,Magán nyugdíjpénztári befizetési kötelezettségek,,,,,,,476,,,,,,,,,,
479,Különféle rövid lejáratú egyéb kötelezettségek,,,,,Yes,,47,,,,,,,,,,
4791,Biztosító intézetekkel szembeni kötelezettségek,,,,,,,479,,,,,,,,,,
4792,Hitelezõk,,,,,,,479,,,,,,,,,,
4793,Átvállalt kötelezettségek,,,,,,,479,,,,,,,,,,
4794,Beszerzési árba beletartozó elõírt egyéb kötelezettségek,,,,,,,479,,,,,,,,,,
4795,Egyéb rövid lejáratú elõírt kötelezettségek,,,,,,,479,,,,,,,,,,
48,PASSZÍV IDÕBELI ELHATÁROLÁSOK,,,,,Yes,,4,,,,,,,,,,
481,Bevételek passzív idõbeli elhatárolása,,,,,Yes,,48,,,,,,,,,,
4811,"Befolyt, elszámolt bevételek elhatárolása",,,,,,,481,,,,,,,,,,
4812,Költségek ellentételezésére kapott támogatások elhatárolása,,,,,,,481,,,,,,,,,,
4813,Devizaeszközök és devizakötelezettségek mérlegfordulónapi értékelése árfolyamnyereségének elhatárolása,,,,,,,481,,,,,,,,,,
482,"Költségek, ráfordítások passzív idõbeli elhatárolása",,,,,Yes,,48,,,,,,,,,,
4821,"Mérlegfordulónap elõtti idõszakot terhelõ költségek, ráfordítások elhatárolása",,,,,,,482,,,,,,,,,,
4822,Értékpapírok beszerzéséhez kapcsolódó különbözetbõl az idõarányos árfolyamveszteség elhatárolása,,,,,,,482,,,,,,,,,,
4823,Fizetendõ kamatok elhatárolása,,,,,,,482,,,,,,,,,,
483,Halasztott bevételek,,,,,Yes,,48,,,,,,,,,,
4831,Elengedett kötelezettségek miatti elhatárolás,,,,,,,483,,,,,,,,,,
4832,Fejlesztési célra kapott támogatások elhatárolása,,,,,,,483,,,,,,,,,,
4833,"Térítés nélkül átvett (ajándékba kapott, fellelt stb.) eszközök értékének elhatárolása",,,,,Yes,,483,,,,,,,,,,
48331,Térítés nélkül átvett eszközök értékének passzív idõbeli elhatárolása,,,,,,,4833,,,,,,,,,,
48332,Hagyatékként átvett eszközök értékének passzív idõbeli elhatárolása,,,,,,,4833,,,,,,,,,,
48333,Ajándékba kapott eszközök értékének passzív idõbeli elhatárolása,,,,,,,4833,,,,,,,,,,
48334,Nem adminisztrációs hibából származó többlet értékének passzív idõbeli elhatárolása,,,,,,,4833,,,,,,,,,,
48335,"Véglegesen, fejlesztésre átvett pénzeszközök értékének passzív idõbeli elhatárolása",,,,,,,4833,,,,,,,,,,
4834,Negatív üzleti vagy cégérték elhatárolása,,,,,,,483,,,,,,,,,,
49,ÉVI MÉRLEGSZÁMLÁK,,,,,Yes,,4,,,,,,,,,,
491,Nyitómérleg számla,,,,,,,49,,,,,,,,,,
492,Zárómérleg számla,,,,,,,49,,,,,,,,,,
493,Tárgyévi eredmény elszámolása,,,,,,,49,,,,,,,,,,
494,Adózott eredmény elszámolása,,,,,,,49,,,,,,,,,,
5,Költségnemek,,,,,Yes,,,,,,,,,,,,
51,ANYAGKÖLTSÉG,,,,,Yes,,5,,,,,,,,,,
511,Vásárolt anyagok költségei,,,,,Yes,,51,,,,,,,,,,
5111,Alapanyag költségek,,,,,,,511,,,,,,,,,,
5112,Segédanyag költségek,,,,,,,511,,,,,,,,,,
5113,Üzemanyag költségek,,,,,,,511,,,,,,,,,,
5114,"Egy éven belül elhasználódó gyártóeszközök, berendezések, felszerelések és egyéb eszközök költségei",,,,,,,511,,,,,,,,,,
5115,"Egy éven belül elhasználódó munkaruha, védõruha felhasználás költségei",,,,,,,511,,,,,,,,,,
5116,"Nyomtatványok, irodaszerek költségei",,,,,,,511,,,,,,,,,,
5117,Fûtõanyag költségek,,,,,,,511,,,,,,,,,,
5118,Villamosenergia felhasználás és vízfelhasználás költségei,,,,,,,511,,,,,,,,,,
5119,Egyéb anyagfelhasználás költségei,,,,,,,511,,,,,,,,,,
512,Egy éven belül elhasználódó anyagi eszközök költségei,,,,,Yes,,51,,,,,,,,,,
5121,Vásárolt növendékállatok költségei,,,,,,,512,,,,,,,,,,
5122,Vásárolt hízóállatok költségei,,,,,,,512,,,,,,,,,,
5123,Vásárolt egyéb állatok költségei,,,,,,,512,,,,,,,,,,
513,Egyéb anyagköltség,,,,,,,51,,,,,,,,,,
519,Anyagköltség megtérülés,,,,,,,51,,,,,,,,,,
52,IGÉNYBE VETT SZOLGÁLTATÁSOK KÖLTSÉGEI,,,,,Yes,,5,,,,,,,,,,
521,Utazási és kiküldetési költségek (napidíj nélkül),,,,,,,52,,,,,,,,,,
522,Bérleti díjak,,,,,,,52,,,,,,,,,,
523,"Fuvarozási, szállítási, rakodási és raktározási költségek",,,,,,,52,,,,,,,,,,
524,"Javítás, karbantartás költsége",,,,,,,52,,,,,,,,,,
525,"Elektronikus adathordozón (CD, mágnesszalag, stb.) megjelent kiadványok költségei",,,,,,,52,,,,,,,,,,
526,"Újságok, könyvek, CD-k költségei",,,,,,,52,,,,,,,,,,
527,"Posta, telefon, telefax és egyéb telekommunikációs költségek",,,,,,,52,,,,,,,,,,
528,"Mosoda, vegytisztítás, takarítás költségei",,,,,,,52,,,,,,,,,,
529,Egyéb igénybevett szolgáltatások költségei,,,,,Yes,,52,,,,,,,,,,
