[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
0175,Garagen,Garagen,Asset,,,No,,0160,,,,,,,,,,
0176,Aussenanlagen,Aussenanlagen,Asset,,,No,,0160,,,,,,,,,,
0177,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,Asset,,,No,,0160,,,,,,,,,,
0178,Einrichtung für Fabrik- und Geschäftsbauten,Einrichtung für Fabrik- und Geschäftsbauten,Asset,,,No,,0160,,,,,,,,,,
0179,Andere Bauten,Andere Bauten,Asset,,,No,,K0BA21,,,,,,,,,,
0180,Geschäfts- Fabrik- und andere Bauten im Bau,Geschäfts- Fabrik- und andere Bauten im Bau,Asset,,,No,,K0BA22,,,,,,,,,,
0189,Anzahlungen auf Geschäfts- Fabrik- und andere Bauten auf fremden Grundstücken,Anzahlungen auf Geschäfts- Fabrik- und andere Bauten auf fremden Grundstücken,Asset,,,No,,K0BA22,,,,,,,,,,
0190,Wohnbauten,Wohnbauten,Asset,,,No,,K0BA21,,,,,,,,,,
0191,Garagen,Garagen,Asset,,,No,,K0BA21,,,,,,,,,,
0192,Aussenanlagen,Aussenanlagen,Asset,,,No,,K0BA21,,,,,,,,,,
0193,Hof- und Wegebefestigungen,Hof- und Wegebefestigungen,Asset,,,No,,K0BA21,,,,,,,,,,
0194,Einrichtungen für Wohnbauten,Einrichtungen für Wohnbauten,Asset,,,No,,K0BA21,,,,,,,,,,
0195,Wohnbauten im Bau,Wohnbauten im Bau,Asset,,,No,,K0BA22,,,,,,,,,,
0199,Anzahlungen a. Wohnbauten auf fremden Grundstücken,Anzahlungen a. Wohnbauten auf fremden Grundstücken,Asset,,,No,,K0BA22,,,,,,,,,,
K0BA23,Technische Anlagen und Maschinen,Technische Anlagen und Maschinen,Asset,,,Yes,,K0BA2,,,,,,,,,,
0200,Technische Anlagen und Maschinen,Technische Anlagen und Maschinen,Asset,,,Yes,,K0BA23,,,,,,,,,,
0210,Maschinen,Maschinen,Asset,,,No,,0200,,,,,,,,,,
0220,Maschinengebundene Werkzeuge,Maschinengebundene Werkzeuge,Asset,,,No,,0200,,,,,,,,,,
0240,Maschinelle Anlagen,Maschinelle Anlagen,Asset,,,No,,0200,,,,,,,,,,
0260,Transportanlagen und ähnliches,Transportanlagen und ähnliches,Asset,,,No,,0200,,,,,,,,,,
0280,Betriebsvorrichtungen,Betriebsvorrichtungen,Asset,,,No,,0200,,,,,,,,,,
0290,Technische Anlagen und Maschinen im Bau,Technische Anlagen und Maschinen im Bau,Asset,,,No,,K0BA22,,,,,,,,,,
0299,Anzahlungen auf technische Anlagen und Maschinen,Anzahlungen auf technische Anlagen und Maschinen,Asset,,,No,,K0BA22,,,,,,,,,,
K0BA24,Andere Anlagen Betriebs- und Geschäftsausstattung,Andere Anlagen Betriebs- und Geschäftsausstattung,Asset,,,Yes,,K0BA2,,,,,,,,,,
0300,Andere Anlagen Betriebs- und Geschäftsausstattung,Andere Anlagen Betriebs- und Geschäftsausstattung,Asset,,,Yes,,K0BA24,,,,,,,,,,
0310,Andere Anlagen,Andere Anlagen,Asset,,,No,,0300,,,,,,,,,,
0320,PKW,PKW,Asset,,,No,,0300,,,,,,,,,,
0350,LKW,LKW,Asset,,,No,,0300,,,,,,,,,,
0380,Sonstige Transportmittel,Sonstige Transportmittel,Asset,,,No,,0300,,,,,,,,,,
0400,Betriebsausstattung,Betriebsausstattung,Asset,,,No,,0300,,,,,,,,,,
0410,Geschäftsausstattung,Geschäftsausstattung,Asset,,,No,,0300,,,,,,,,,,
0420,Büroeinrichtung,Büroeinrichtung,Asset,,,No,,0300,,,,,,,,,,
0430,Ladeneinrichtung,Ladeneinrichtung,Asset,,,No,,0300,,,,,,,,,,
0440,Werkzeuge,Werkzeuge,Asset,,,No,,0300,,,,,,,,,,
0450,Einbauten,Einbauten,Asset,,,No,,0300,,,,,,,,,,
0460,Gerüst- und Schalungsmaterial,Gerüst- und Schalungsmaterial,Asset,,,No,,0300,,,,,,,,,,
0480,Geringwertige Wirtschaftsgüter bis 410 Euro,Geringwertige Wirtschaftsgüter bis 410 Euro,Asset,,,No,,0300,,,,,,,,,,
0490,Sonstige Betriebs- und Geschäftsausstattung,Sonstige Betriebs- und Geschäftsausstattung,Asset,,,No,,0300,,,,,,,,,,
0498,Andere Anlagen Betriebs- und Geschäftsausstattung im Bau,Andere Anlagen Betriebs- und Geschäftsausstattung im Bau,Asset,,,No,,K0BA22,,,,,,,,,,
0499,Anzahlungen auf andere Anlagen Betriebs- und Geschäftsausstattung,Anzahlungen auf andere Anlagen Betriebs- und Geschäftsausstattung,Asset,,,No,,K0BA22,,,,,,,,,,
K0BA3,Finanzanlagen,Finanzanlagen,Asset,,,Yes,,K0BA,,,,,,,,,,
K0BA31,Anteile an verbundenen Unternehmen,Anteile an verbundenen Unternehmen,Asset,,,Yes,,K0BA3,,,,,,,,,,
0500,Anteile an verbundenen Unternehmen (Anlagevermögen),Anteile an verbundenen Unternehmen (Anlagevermögen),Asset,,,No,,K0BA31,,,,,,,,,,
0504,Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,Asset,,,No,,K0BA31,,,,,,,,,,
K0BA32,Ausleihungen an verbundene Unternehmen,Ausleihungen an verbundene Unternehmen,Asset,,,Yes,,K0BA3,,,,,,,,,,
0505,Ausleihungen an verbundene Unternehmen,Ausleihungen an verbundene Unternehmen,Asset,,,No,,K0BA32,,,,,,,,,,
K0BA33,Beteiligungen,Beteiligungen,Asset,,,Yes,,K0BA3,,,,,,,,,,
0510,Beteiligungen,Beteiligungen,Asset,,,Yes,,K0BA33,,,,,,,,,,
0513,Typisch stille Beteiligungen,Typisch stille Beteiligungen,Asset,,,No,,0510,,,,,,,,,,
0516,Atypisch stille Beteiligungen,Atypisch stille Beteiligungen,Asset,,,No,,0510,,,,,,,,,,
0517,Andere Beteiligungen an Kapitalgesellschaften,Andere Beteiligungen an Kapitalgesellschaften,Asset,,,No,,0510,,,,,,,,,,
0518,Andere Beteiligungen an Personengesellschaften,Andere Beteiligungen an Personengesellschaften,Asset,,,No,,0510,,,,,,,,,,
0519,Beteiligung einer GmbH&Co.KG an einer Komplementär GmbH,Beteiligung einer GmbH&Co.KG an einer Komplementär GmbH,Asset,,,No,,0510,,,,,,,,,,
K0BA34,Ausleihungen an Unternehmen mit denen ein Beteiligungsverhältnis besteht,Ausleihungen an Unternehmen mit denen ein Beteiligungsverhältnis besteht,Asset,,,Yes,,K0BA3,,,,,,,,,,
0520,Ausleihungen an Unternehmen mit denen ein Beteiligungsverhältnis besteht,Ausleihungen an Unternehmen mit denen ein Beteiligungsverhältnis besteht,Asset,,,No,,K0BA34,,,,,,,,,,
K0BA35,Wertpapiere des Anlagevermögens,Wertpapiere des Anlagevermögens,Asset,,,Yes,,K0BA3,,,,,,,,,,
0525,Wertpapiere des Anlagevermögens,Wertpapiere des Anlagevermögens,Asset,,,Yes,,K0BA35,,,,,,,,,,
0530,Wertpapiere mit Gewinnbeteiligungsansprüchen die dem Halbeinkünfteverfahren unterliegen ,Wertpapiere mit Gewinnbeteiligungsansprüchen die dem Halbeinkünfteverfahren unterliegen ,Asset,,,No,,0525,,,,,,,,,,
0535,Festverzinsliche Wertpapiere,Festverzinsliche Wertpapiere,Asset,,,No,,0525,,,,,,,,,,
K0BA36,Sonstige Ausleihungen,Sonstige Ausleihungen,Asset,,,Yes,,K0BA3,,,,,,,,,,
0540,Sonstige Ausleihungen,Sonstige Ausleihungen,Asset,,,Yes,,K0BA36,,,,,,,,,,
0550,Darlehen,Darlehen,Asset,,,No,,0540,,,,,,,,,,
K0BA37,Genossenschaftsanteile,Genossenschaftsanteile,Asset,,,Yes,,K0BA3,,,,,,,,,,
0570,Genossenschaftsanteile zum langfristigen Verbleib,Genossenschaftsanteile zum langfristigen Verbleib,Asset,,,No,,K0BA37,,,,,,,,,,
0580,Ausleihungen an Gesellschafter,Ausleihungen an Gesellschafter,Asset,,,No,,K0BA36,,,,,,,,,,
0590,Ausleihungen an nahe stehende Personen,Ausleihungen an nahe stehende Personen,Asset,,,No,,K0BA36,,,,,,,,,,
K0BA38,Rückdeckungsansprüche aus Lebensversicherungen,Rückdeckungsansprüche aus Lebensversicherungen,Asset,,,Yes,,K0BA3,,,,,,,,,,
0595,Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib,Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib,Asset,,,No,,K0BA38,,,,,,,,,,
K0BP1,Verbindlichkeiten ,Verbindlichkeiten ,Liability,,,Yes,,K0BP,,,,,,,,,,
K0BP11,Anleihen,Anleihen,Liability,,,Yes,,K0BP1,,,,,,,,,,
0600,Anleihen ,Anleihen ,Liability,,,Yes,,K0BP11,,,,,,,,,,
0601,Anleihen nicht konvertibel (bis 1 Jahr),Anleihen nicht konvertibel (bis 1 Jahr),Liability,,,No,,0600,,,,,,,,,,
0605,Anleihen nicht konvertibel (1-5 Jahre),Anleihen nicht konvertibel (1-5 Jahre),Liability,,,No,,0600,,,,,,,,,,
0610,Anleihen nicht konvertibel (größer 5 Jahre),Anleihen nicht konvertibel (größer 5 Jahre),Liability,,,No,,0600,,,,,,,,,,
0615,Anleihen konvertibel,Anleihen konvertibel,Liability,,,No,,0600,,,,,,,,,,
0616,Anleihen konvertibel(bis 1 Jahr),Anleihen konvertibel(bis 1 Jahr),Liability,,,No,,0600,,,,,,,,,,
0620,Anleihen konvertibel(1-5 Jahre),Anleihen konvertibel(1-5 Jahre),Liability,,,No,,0600,,,,,,,,,,
0625,Anleihen konvertibel(größer 5 Jahre),Anleihen konvertibel(größer 5 Jahre),Liability,,,No,,0600,,,,,,,,,,
K0BP12,Verbindlichkeiten gegenüber Kreditinstituten oder Schecks Kassenbestand Bundesbank- und Postbankguthaben Guthaben bei Kreditinstituten,Verbindlichkeiten gegenüber Kreditinstituten oder Schecks Kassenbestand Bundesbank- und Postbankguthaben Guthaben bei Kreditinstituten,Liability,,,Yes,,K0BP1,,,,,,,,,,
0630,Verbindlichkeiten gegenüber Kreditinstituten,Verbindlichkeiten gegenüber Kreditinstituten,Liability,,,Yes,,K0BP12,,,,,,,,,,
0631,Verbindlichkeiten gegenüber Kreditinstitut ( bis 1Jahr ),Verbindlichkeiten gegenüber Kreditinstitut ( bis 1Jahr ),Liability,,,No,,0630,,,,,,,,,,
0640,Verbindlichkeiten gegenüber Kreditinstitut (1 bis 5 Jahre ),Verbindlichkeiten gegenüber Kreditinstitut (1 bis 5 Jahre ),Liability,,,No,,0630,,,,,,,,,,
0650,Verbindlichkeiten gegenüber Kreditinstitut (größer 5 Jahre ),Verbindlichkeiten gegenüber Kreditinstitut (größer 5 Jahre ),Liability,,,No,,0630,,,,,,,,,,
0660,Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen,Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen,Liability,,,No,,0630,,,,,,,,,,
0661,Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen ( bis 1Jahr ),Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen ( bis 1Jahr ),Liability,,,No,,0630,,,,,,,,,,
0670,Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen (1 bis 5 Jahre ),Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen (1 bis 5 Jahre ),Liability,,,No,,0630,,,,,,,,,,
0680,Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen (größer 5 Jahre ),Verbindlichkeit. gegenüber Kreditinstituten aus Teilzahlungsverträgen (größer 5 Jahre ),Liability,,,No,,0630,,,,,,,,,,
0690,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0691,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0692,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0693,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0694,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0695,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0696,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0697,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
0698,(frei in Bilanz kein Restlaufzeitvermerk),(frei in Bilanz kein Restlaufzeitvermerk),Liability,,,No,,0630,,,,,,,,,,
K0BP13,Verbindlichkeiten gegenüber Kreditinstitut ,Verbindlichkeiten gegenüber Kreditinstitut ,Liability,,,Yes,,K0BP1,,,,,,,,,,
0699,Gegenkonto 0630-0689 bei Aufteilung der Konten 0690-0698,Gegenkonto 0630-0689 bei Aufteilung der Konten 0690-0698,Liability,,,No,,K0BP13,,,,,,,,,,
K0BP14,Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen,Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen,Liability,,,Yes,,K0BP1,,,,,,,,,,
0700,Verbindlichkeiten gegenüber verbundenen Unternehmen,Verbindlichkeiten gegenüber verbundenen Unternehmen,Liability,,Yes,No,INTERCOMPANYDUETO_ACCT,K0BP14,,,,,,,,,,
0701,Verbindlichkeiten gegenüber verbundenen Unternehmen ( bis 1 Jahr ),Verbindlichkeiten gegenüber verbundenen Unternehmen ( bis 1 Jahr ),Liability,,,No,,0700,,,,,,,,,,
0705,Verbindlichkeiten gegenüber verbundenen Unternehmen ( 1 bis 5 Jahre ),Verbindlichkeiten gegenüber verbundenen Unternehmen ( 1 bis 5 Jahre ),Liability,,,No,,0700,,,,,,,,,,
0710,Verbindlichkeiten gegenüber verbundenen Unternehmen ( größer 5 Jahre ),Verbindlichkeiten gegenüber verbundenen Unternehmen ( größer 5 Jahre ),Liability,,,No,,0700,,,,,,,,,,
K0BP15,Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen mit denen ein Beteiligungsverhältnis besteht,Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen mit denen ein Beteiligungsverhältnis besteht,Liability,,,Yes,,K0BP1,,,,,,,,,,
0715,Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht,Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht,Liability,,,Yes,,K0BP15,,,,,,,,,,
0716,Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht ( bis 1 Jahr ),Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht ( bis 1 Jahr ),Liability,,,No,,K0BP15,,,,,,,,,,
0720,Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht ( 1 bis 5 Jahre ),Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht ( 1 bis 5 Jahre ),Liability,,,No,,K0BP15,,,,,,,,,,
0725,Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht ( größer 5 Jahre),Verbindlichkeit. gegenüber Unternehmen mit denen ein Beteiligungsverhältnis besteht ( größer 5 Jahre),Liability,,,No,,K0BP15,,,,,,,,,,
K0BP16,Sonstige Verbindlichkeiten,Sonstige Verbindlichkeiten,Liability,,,Yes,,K0BP1,,,,,,,,,,
0730,Verbindlichkeit gegenüber Gesellschaftern,Verbindlichkeit gegenüber Gesellschaftern,Liability,,,Yes,,K0BP16,,,,,,,,,,
0731,Verbindlichkeit gegenüber Gesellschaftern ( bis 1 Jahr ),Verbindlichkeit gegenüber Gesellschaftern ( bis 1 Jahr ),Liability,,,No,,0730,,,,,,,,,,
0740,Verbindlichkeit gegenüber Gesellschaftern ( 1 bis 5 Jahre ),Verbindlichkeit gegenüber Gesellschaftern ( 1 bis 5 Jahre ),Liability,,,No,,0730,,,,,,,,,,
0750,Verbindlichkeit gegenüber Gesellschaftern ( größer 5 Jahre ),Verbindlichkeit gegenüber Gesellschaftern ( größer 5 Jahre ),Liability,,,No,,0730,,,,,,,,,,
0755,Verbindlichkeit gegenüber Gesellschaftern für offene Ausschüttungen,Verbindlichkeit gegenüber Gesellschaftern für offene Ausschüttungen,Liability,,,No,,0730,,,,,,,,,,
