[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1800,geleistete Anzahlungen,geleistete Anzahlungen,Asset,,Yes,,V_PREPAYMENT_ACCT,1,,,,,,,,,,
1900,Wertberichtigungen,Wertberichtigungen,Asset,,,,,1,,,,,,,,,,
2,Umlaufvermögen,Umlaufvermögen,Asset,,,Yes,,,,,,,,,,,,
2000,Forderungen aus Lieferungen u. Leistungen Inland LZ u. 1 J.,Forderungen aus Lieferungen u. Leistungen Inland LZ u. 1 J.,Asset,,Yes,,C_RECEIVABLE_ACCT,2,,,,,,,,,,
2001,Forderungen aus Dienstleistungen (*),,Asset,,Yes,,C_RECEIVABLE_SERVICES_ACCT,2,,,,,,,,,,
2002,Forderungen ohne Rechnung (*),Forderungen ohne Rechnung (*),Asset,,Yes,,NOTINVOICEDRECEIVABLES_ACCT,2,,,,,,,,,,
2050,Forderungen aus Lieferungen u. Leistungen Inland LZ ü. 1 J.,Forderungen aus Lieferungen u. Leistungen Inland LZ ü. 1 J.,Asset,,,,,2,,,,,,,,,,
2070,Einzelwertberichtigung zu Ford.a.Lieferung.u.Leistung.Inl.,Einzelwertberichtigung zu Ford.a.Lieferung.u.Leistung.Inl.,Asset,,,,,2,,,,,,,,,,
2075,Pauschalwertberichtigung zu Ford.a.Lieferung.u.Leistung.Inl.,Pauschalwertberichtigung zu Ford.a.Lieferung.u.Leistung.Inl.,Asset,,,,,2,,,,,,,,,,
2080,Wertberichtigung f. Zinsverluste zu Ford.a.Lief.u.Leist.Inl.,Wertberichtigung f. Zinsverluste zu Ford.a.Lief.u.Leist.Inl.,Asset,,,,,2,,,,,,,,,,
2085,Wertberichtigung f. Skontiaufwand z.Ford.a.Lief.u.Leist.Inl.,Wertberichtigung f. Skontiaufwand z.Ford.a.Lief.u.Leist.Inl.,Asset,,,,,2,,,,,,,,,,
2090,Wertberichtigung f. dubiose Fordungen a.Lief.u.Leist.Inl.,Wertberichtigung f. dubiose Fordungen a.Lief.u.Leist.Inl.,Asset,,,,,2,,,,,,,,,,
2100,Forderungen aus Lieferungen u. Leistungen Ausland LZ u. 1 J.,Forderungen aus Lieferungen u. Leistungen Ausland LZ u. 1 J.,Asset,,,,,2,,,,,,,,,,
2150,Forderungen aus Lieferungen u. Leistungen Ausland LZ ü.1 J.,Forderungen aus Lieferungen u. Leistungen Ausland LZ ü.1 J.,Asset,,,,,2,,,,,,,,,,
2170,Einzelwertberichtigung zu Ford.a.Lieferung.u.Leistung. Ausl.,Einzelwertberichtigung zu Ford.a.Lieferung.u.Leistung. Ausl.,Asset,,,,,2,,,,,,,,,,
2175,Pauschalwertberichtigung zu Ford.a.Lief.u.Leist.Ausl.,Pauschalwertberichtigung zu Ford.a.Lief.u.Leist.Ausl.,Asset,,,,,2,,,,,,,,,,
2180,Wertberichtigung f. Zinsverluste z.Ford.a.Lief.u.Leist.Ausl.,Wertberichtigung f. Zinsverluste z.Ford.a.Lief.u.Leist.Ausl.,Asset,,,,,2,,,,,,,,,,
2185,Wertberichtigung f. Skontiaufwand z.Ford.a.Lief.u.Leis.Ausl.,Wertberichtigung f. Skontiaufwand z.Ford.a.Lief.u.Leis.Ausl.,Asset,,,,,2,,,,,,,,,,
2190,Wertberichtigung f. dubiose Forderungen a.Lief.u.Leist.Ausl.,Wertberichtigung f. dubiose Forderungen a.Lief.u.Leist.Ausl.,Asset,,,,,2,,,,,,,,,,
2200,Forderungen gegenüber verbundenen Unternehmen LZ u. 1 J.,Forderungen gegenüber verbundenen Unternehmen LZ u. 1 J.,Asset,,Yes,,INTERCOMPANYDUEFROM_ACCT,2,,,,,,,,,,
2210,Forderungen gegenüber verbundenen Unternehmen LZ ü. 1 J.,Forderungen gegenüber verbundenen Unternehmen LZ ü. 1 J.,Asset,,,,,2,,,,,,,,,,
2215,Verrechnungskonto für verbundene Unternehmen,Verrechnungskonto für verbundene Unternehmen,Asset,,,,,2,,,,,,,,,,
2230,Einzelwertberichtigung zu Forderungen ggü. verbund. Untern.,Einzelwertberichtigung zu Forderungen ggü. verbund. Untern.,Asset,,,,,2,,,,,,,,,,
2240,Pauschalwertberichtigung zu Forderungen ggü. verb. Untern.,Pauschalwertberichtigung zu Forderungen ggü. verb. Untern.,Asset,,,,,2,,,,,,,,,,
2250,Forderungen ggü. Untern. m. Beteiligungsverhältnis LZ u.1 J.,Forderungen ggü. Untern. m. Beteiligungsverhältnis LZ u.1 J.,Asset,,,,,2,,,,,,,,,,
2260,Forderungen ggü. Untern. m. Beteiligungsverhältnis LZ ü.1 J.,Forderungen ggü. Untern. m. Beteiligungsverhältnis LZ ü.1 J.,Asset,,,,,2,,,,,,,,,,
2265,Verrechnungskonto für Firmen m. Beteiligungsverhältnis,Verrechnungskonto für Firmen m. Beteiligungsverhältnis,Asset,,,,,2,,,,,,,,,,
2280,Einzelwertberichtigung z.Ford.ggü.Untern.m.Beteiligungsverh.,Einzelwertberichtigung z.Ford.ggü.Untern.m.Beteiligungsverh.,Asset,,,,,2,,,,,,,,,,
2290,Pauschalwertberichtigung z.Ford.ggü.Untern.m.Beteilig.Verh.,Pauschalwertberichtigung z.Ford.ggü.Untern.m.Beteilig.Verh.,Asset,,,,,2,,,,,,,,,,
2300,Forderungen aus Abgabenverrechnung,Forderungen aus Abgabenverrechnung,Asset,,,,,2,,,,,,,,,,
2305,Anzahlungen an Lieferanten (VSt),Anzahlungen an Lieferanten (VSt),Asset,,,,,2,,,,,,,,,,
2400,"Darlehen, diverse Verrechnungskonten","Darlehen, diverse Verrechnungskonten",Asset,,,,,2,,,,,,,,,,
2440,Geldverrechnungskonto,Geldverrechnungskonto,Asset,,,,,2,,,,,,,,,,
2460,Forderungen Kreditkarten,Forderungen Kreditkarten,Asset,,,,,2,,,,,,,,,,
2500,Vorsteuer,Vorsteuer,Asset,,Yes,,T_EXPENSE_ACCT,2,,,,,,,,,,
2510,Einfuhrumsatzsteuer,Einfuhrumsatzsteuer,Asset,,,,,2,,,,,,,,,,
2520,MWSt Verrechnungskonto Guthaben,MWSt Verrechnungskonto Guthaben,Asset,,,,,2,,,,,,,,,,
2530,Finanzamt Guthaben,Finanzamt Guthaben,Asset,,,,,2,,,,,,,,,,
2531,T_RECEIVABLES_ACCT,Tax Receivables,Asset,,Yes,,T_RECEIVABLES_ACCT,2,,,,,,,,,,
2540,Vorsteuer Bau Par. 19 Abs. 1a UStG,Vorsteuer Bau Par. 19 Abs. 1a UStG,Asset,,,,,2,,,,,,,,,,
2550,Vorsteuer innergemeinschaftlicher Erwerb,Vorsteuer innergemeinschaftlicher Erwerb,Asset,,,,,2,,,,,,,,,,
2555,Forderung aus Vorsteuer-Vergütung (Ausland),Forderung aus Vorsteuer-Vergütung (Ausland),Asset,,,,,2,,,,,,,,,,
2560,Vorsteuer reverse charge system"""",Vorsteuer reverse charge system"""",Asset,,,,,2,,,,,,,,,,
2590,sonstige Forderungen,sonstige Forderungen,Asset,,,,,2,,,,,,,,,,
2591,Reiseaufwand Mitarbeiter Vorauszahlungen,Reiseaufwand Mitarbeiter Vorauszahlungen,Asset,,Yes,,E_PREPAYMENT_ACCT,2,,,,,,,,,,
2595,aktivierter Rückkaufswert Abfertigungsversicherungen,aktivierter Rückkaufswert Abfertigungsversicherungen,Asset,,,,,2,,,,,,,,,,
2600,eigene Anteile,eigene Anteile,Asset,,,,,2,,,,,,,,,,
2620,Anteile an verbundenen Unternehmen,Anteile an verbundenen Unternehmen,Asset,,,,,2,,,,,,,,,,
2630,Wertpapiere des Umlaufvermögens,Wertpapiere des Umlaufvermögens,Asset,,,,,2,,,,,,,,,,
2640,Anteile,Anteile,Asset,,,,,2,,,,,,,,,,
2650,Besitzwechsel,Besitzwechsel,Asset,,,,,2,,,,,,,,,,
2690,Wertberichtigungen,Wertberichtigungen,Asset,,,,,2,,,,,,,,,,
2700,Kassa,Kassa,Asset,,Yes,,CB_ASSET_ACCT,2,,,,,,,,,,
2701,Kassa Geld in Transit,Kassa Geld in Transit,Asset,,Yes,,CB_CASHTRANSFER_ACCT,2,,,,,,,,,,
2730,Briefmarken,Briefmarken,Asset,,,,,2,,,,,,,,,,
2740,Stempelmarken,Stempelmarken,Asset,,,,,2,,,,,,,,,,
2750,Fremdwährungskassa,Fremdwährungskassa,Asset,,,,,2,,,,,,,,,,
2780,Schecks in Inlandswährung,Schecks in Inlandswährung,Asset,,,,,2,,,,,,,,,,
2790,Schecks in Fremdwährung,Schecks in Fremdwährung,Asset,,,,,2,,,,,,,,,,
2800,Bank (Guthaben),Bank (Guthaben),Asset,,Yes,,B_ASSET_ACCT,2,,,,,,,,,,
2801,Bank Geld in Transit,Bank Geld in Transit,Asset,,Yes,,B_INTRANSIT_ACCT,2,,,,,,,,,,
2803,Bank nicht zugeordnete Zahlung,Bank nicht zugeordnete Zahlung,Asset,,Yes,,B_UNALLOCATEDCASH_ACCT,2,,,,,,,,,,
2804,Bank Zahlungen von Unbekannt,Bank Zahlungen von Unbekannt,Asset,,Yes,,B_UNIDENTIFIED_ACCT,2,,,,,,,,,,
2900,aktive Rechnungsabgrenzung,aktive Rechnungsabgrenzung,Asset,,,,,2,,,,,,,,,,
2950,aktive Geldbeschaffungskosten,aktive Geldbeschaffungskosten,Asset,,,,,2,,,,,,,,,,
2960,Unterschiedsbetrag zur Pensionsrückstellung,Unterschiedsbetrag zur Pensionsrückstellung,Asset,,,,,2,,,,,,,,,,
2970,Unterschiedsbetrag zur Abfertigungsrückstellung,Unterschiedsbetrag zur Abfertigungsrückstellung,Asset,,,,,2,,,,,,,,,,
3,Verbindlichkeiten,Verbindlichkeiten,Liability,,,Yes,,,,,,,,,,,,
3000,Rückstellungen für Abfertigungen gemäß Par. 14 EStG,Rückstellungen für Abfertigungen gemäß Par. 14 EStG,Liability,,,,,3,,,,,,,,,,
3005,Rückstellungen f. Abfertigungen nach finanzmath. Grundsätzen,Rückstellungen f. Abfertigungen nach finanzmath. Grundsätzen,Liability,,,,,3,,,,,,,,,,
3010,Rückstellungen für Pensionen,Rückstellungen für Pensionen,Liability,,,,,3,,,,,,,,,,
3020,Rückstellungen für Körperschaftsteuer,Rückstellungen für Körperschaftsteuer,Liability,,,,,3,,,,,,,,,,
3030,Rückstellungen für sonstige Steuern,Rückstellungen für sonstige Steuern,Liability,,,,,3,,,,,,,,,,
3050,Rückstellungen für Gewährleistungen,Rückstellungen für Gewährleistungen,Liability,,,,WITHHOLDING_ACCT,3,,,,,,,,,,
3051,Rückstellungen für Prozesskosten,Rückstellungen für Prozesskosten,Liability,,,,,3,,,,,,,,,,
3052,Rückstellungen für Garantien,Rückstellungen für Garantien,Liability,,,,,3,,,,,,,,,,
3053,Rückstellungen für noch nicht konsumierte Urlaube,Rückstellungen für noch nicht konsumierte Urlaube,Liability,,,,,3,,,,,,,,,,
3054,Rückstellungen für Jubiläumsgelder,Rückstellungen für Jubiläumsgelder,Liability,,,,,3,,,,,,,,,,
3055,Rückstellungen für Produkthaftung,Rückstellungen für Produkthaftung,Liability,,,,,3,,,,,,,,,,
3056,Rückstellungen für Zinsverluste,Rückstellungen für Zinsverluste,Liability,,,,,3,,,,,,,,,,
3057,Rückstellungen für Kursrisken,Rückstellungen für Kursrisken,Liability,,,,,3,,,,,,,,,,
3100,Rückstellungen für Boni und Rabatte,Rückstellungen für Boni und Rabatte,Liability,,,,,3,,,,,,,,,,
3150,Anleihen,Anleihen,Liability,,,,,3,,,,,,,,,,
3200,Banken (Verbindlichkeiten),Banken (Verbindlichkeiten),Liability,,,,,3,,,,,,,,,,
3250,Kreditkonten,Kreditkonten,Liability,,,,,3,,,,,,,,,,
3290,Kundenanzahlungen nicht USt-pflichtig,Kundenanzahlungen nicht USt-pflichtig,Liability,,,,,3,,,,,,,,,,
3295,Kundenanzahlungen USt-pflichtig,Kundenanzahlungen USt-pflichtig,Liability,,Yes,,C_PREPAYMENT_ACCT,3,,,,,,,,,,
3300,Verbindlichkeiten aus Lieferungen u. Leistungen LZ u. 1 J.,Verbindlichkeiten aus Lieferungen u. Leistungen LZ u. 1 J.,Liability,,,,V_LIABILITY_ACCT,3,,,,,,,,,,
3301,Verbindlichkeiten aus Dienstleistungen (*),,Liability,,,,V_LIABILITY_SERVICES_ACCT,3,,,,,,,,,,
3302,Verbindlichkeiten ohne Rechnung (*),Verbindlichkeiten ohne Rechnung,Liability,,,,NOTINVOICEDRECEIPTS_ACCT,3,,,,,,,,,,
3303,Rechnung ohne Wareneingang (*),P_INVENTORYCLEARING_ACCT,Liability,,,,P_INVENTORYCLEARING_ACCT,3,,,,,,,,,,
3304,Verbindlichkeiten zur Zahlung selektiert (*),Verbindlichkeiten zur Zahlung selektiert,Liability,,Yes,,B_PAYMENTSELECT_ACCT,3,,,,,,,,,,
3310,Verbindlichkeiten aus Lieferungen u. Leistungen LZ ü.1 J.,Verbindlichkeiten aus Lieferungen u. Leistungen LZ ü.1 J.,Liability,,,,,3,,,,,,,,,,
3340,Verbindlichkeiten aus Lieferungen u. Leistungen Ausland,Verbindlichkeiten aus Lieferungen u. Leistungen Ausland,Liability,,,,,3,,,,,,,,,,
3360,Wechselverbindlichkeiten,Wechselverbindlichkeiten,Liability,,,,,3,,,,,,,,,,
3400,Verbindlichkeiten ggü. verbundenen Unternehmen LZ u. 1 J.,Verbindlichkeiten ggü. verbundenen Unternehmen LZ u. 1 J.,Liability,,,,INTERCOMPANYDUETO_ACCT,3,,,,,,,,,,
3410,Verbindlichkeiten ggü. verbundenen Unternehmen LZ ü. 1 J.,Verbindlichkeiten ggü. verbundenen Unternehmen LZ ü. 1 J.,Liability,,,,,3,,,,,,,,,,
3420,Verrechnungskonto verbundene Unternehmen,Verrechnungskonto verbundene Unternehmen,Liability,,,,,3,,,,,,,,,,
3460,Verbindlichkeiten ggü. Untern.m.Beteiligungsverh. LZ u.1 J.,Verbindlichkeiten ggü. Untern.m.Beteiligungsverh. LZ u.1 J.,Liability,,,,,3,,,,,,,,,,
3470,Verbindlichkeiten ggü. Untern.m.Beteiligungsverh. LZ ü.1 J.,Verbindlichkeiten ggü. Untern.m.Beteiligungsverh. LZ ü.1 J.,Liability,,,,,3,,,,,,,,,,
3480,Verrechnungskonto Untern. m. denen Beteiligungsverh. besteht,Verrechnungskonto Untern. m. denen Beteiligungsverh. besteht,Liability,,,,,3,,,,,,,,,,
3500,Lohn- und Gehaltsverrechnung,Lohn- und Gehaltsverrechnung,Liability,,,,,3,,,,,,,,,,
3501,Lohnsteuer,Lohnsteuer,Liability,,,,,3,,,,,,,,,,
3510,Finanzamt,Finanzamt,Liability,,,,,3,,,,,,,,,,
3520,Zahllast,Zahllast,Liability,,,,,3,,,,,,,,,,
3530,"lohnabhängige Verbindlichkeiten (DB, DZ, Kommunalst., DGA)","lohnabhängige Verbindlichkeiten (DB, DZ, Kommunalst., DGA)",Liability,,,,,3,,,,,,,,,,
3540,Wiener Gebietskrankenkasse,Wiener Gebietskrankenkasse,Liability,,,,,3,,,,,,,,,,
3541,NÖ Gebietskrankenkasse,NÖ Gebietskrankenkasse,Liability,,,,,3,,,,,,,,,,
3550,Verbindlichkeiten aus der Abgabenverrechnung (KÖSt),Verbindlichkeiten aus der Abgabenverrechnung (KÖSt),Liability,,,,,3,,,,,,,,,,
3560,Darlehen von Gesellschaftern,Darlehen von Gesellschaftern,Liability,,,,,3,,,,,,,,,,
3570,Verrechnungskonto Gesellschafter,Verrechnungskonto Gesellschafter,Liability,,,,,3,,,,,,,,,,
3580,sonstige Darlehen,sonstige Darlehen,Liability,,,,,3,,,,,,,,,,
3590,sonstige Verrechnungskonten,sonstige Verrechnungskonten,Liability,,,,,3,,,,,,,,,,
3600,Umsatzsteuer vereinbart 10 %,Umsatzsteuer vereinbart 10 %,Liability,,,,,3,,,,,,,,,,
3601,Umsatzsteuer vereinbart 20 %,Umsatzsteuer vereinbart 20 %,Liability,,Yes,,T_DUE_ACCT,3,,,,,,,,,,
3602,Umsatzsteuer vereinbart 12%,Umsatzsteuer vereinbart 12%,Liability,,,,,3,,,,,,,,,,
3603,Umsatzsteuer vereinbart 16%,Umsatzsteuer vereinbart 16%,Liability,,,,,3,,,,,,,,,,
3610,Umsatzsteuer vereinnahmt,Umsatzsteuer vereinnahmt,Liability,,,,,3,,,,,,,,,,
3620,T_LIABILITY_ACCT,Ust Verbindlichkeiten,Liability,,Yes,,T_LIABILITY_ACCT,3,,,,,,,,,,
3630,Umsatzsteuer Bau Par. 19 Abs. 1a UStG,Umsatzsteuer Bau Par. 19 Abs. 1a UStG,Liability,,,,,3,,,,,,,,,,
3650,Umsatzsteuer innergemeinschaftlicher Erwerb 10%,Umsatzsteuer innergemeinschaftlicher Erwerb 10%,Liability,,,,,3,,,,,,,,,,
3651,Umsatzsteuer innergemeinschaftlicher Erwerb 20%,Umsatzsteuer innergemeinschaftlicher Erwerb 20%,Liability,,,,,3,,,,,,,,,,
3652,Umsatzsteuer innergemeinschaftlicher Erwerb 12%,Umsatzsteuer innergemeinschaftlicher Erwerb 12%,Liability,,,,,3,,,,,,,,,,
3653,Umsatzsteuer innergemeinschaftlicher Erwerb 16%,Umsatzsteuer innergemeinschaftlicher Erwerb 16%,Liability,,,,,3,,,,,,,,,,
3655,Umsatzsteuer aus in EU steuerpflichtiger Lieferung,Umsatzsteuer aus in EU steuerpflichtiger Lieferung,Liability,,,,,3,,,,,,,,,,
3660,Umsatzsteuer reverse charge system"""",Umsatzsteuer reverse charge system"""",Liability,,,,,3,,,,,,,,,,
3890,sonstige Verbindlichkeiten,sonstige Verbindlichkeiten,Liability,,,,,3,,,,,,,,,,
3900,passive Rechnungsabgrenzung,passive Rechnungsabgrenzung,Liability,,,,,3,,,,,,,,,,
4,Betriebliche Erträge,Betriebliche Erträge,Revenue,,,Yes,,,,,,,,,,,,
40,Brutto Umsatzerlöse und Erlösschmälerungen,Brutto Umsatzerlöse und Erlösschmälerungen,Revenue,,,Yes,,4,,,,,40,Brutto Umsatzerlöse und Erlösschmälerungen,,,,
4000,Umsatzerlöse Inland 20 %,Umsatzerlöse Inland 20 %,Revenue,,Yes,,P_REVENUE_ACCT,40,,,,,,,,,,
4070,Erlöse Bauleistungen 0% Par. 19 Abs. 1a UStG,Erlöse Bauleistungen 0% Par. 19 Abs. 1a UStG,Revenue,,,,,40,,,,,,,,,,
4100,Umsatzerlöse Inland 10 %,Umsatzerlöse Inland 10 %,Revenue,,,,,40,,,,,,,,,,
4110,Umsatzerlöse Inland 12%,Umsatzerlöse Inland 12%,Revenue,,,,,40,,,,,,,,,,
4120,Umsatzerlöse Inland 16%,Umsatzerlöse Inland 16%,Revenue,,,,,40,,,,,,,,,,
4150,Umsatzerlöse Inland 0 %,Umsatzerlöse Inland 0 %,Revenue,,,,,40,,,,,,,,,,
4200,Umsatzerlöse Export Nicht-EU (Drittland) 0 %,Umsatzerlöse Export Nicht-EU (Drittland) 0 %,Revenue,,,,,40,,,,,,,,,,
4210,Transiterlöse,Transiterlöse,Revenue,,,,,40,,,,,,,,,,
4220,Transiterlöse innergemeinschaftliche Lieferung,Transiterlöse innergemeinschaftliche Lieferung,Revenue,,,,,40,,,,,,,,,,
